,Protein1_ID,Protein2_ID,label
0,Q99653,P03468,1
1,Q9Y6C9,P03468,1
2,Q00610,P03468,1
3,Q9Y6D6,P03468,1
4,O43324,P03468,1
5,Q969V3,P03468,1
6,O43889,P03468,1
7,O60518,P03468,1
8,P50454,P03468,1
9,P53007,P03468,1
10,Q9H5Q4,P03468,1
11,P14868,P03468,1
12,Q8WVX9,P03468,1
13,P63104,P03468,1
14,Q9NVJ2,P03468,1
15,Q13200,P03468,1
16,P07384,P03468,1
17,P08240,P03468,1
18,P18084,P03468,1
19,P33993,P03468,1
20,Q9UNM6,P03468,1
21,Q7Z7H8,P03468,1
22,Q9BW72,P03468,1
23,Q15758,P03468,1
24,P13498,P03468,1
25,P50402,P03468,1
26,P12004,P03468,1
27,Q9NZ45,P03468,1
28,Q9Y266,P03468,1
29,Q53EU6,P03468,1
30,Q01813,P03468,1
31,Q13637,P03468,1
32,P78527,P03468,1
33,Q8IWA4,P03468,1
34,P58557,P03468,1
35,Q96KA5,P03468,1
36,Q9BQG0,P03468,1
37,Q9BZQ6,P03468,1
38,Q6NUM9,P03468,1
39,Q9BSJ8,P03468,1
40,P20339,P03468,1
41,O76031,P03468,1
42,Q9UBV2,P03468,1
43,P50222,P03468,1
44,O60488,P03468,1
45,P35606,P03468,1
46,Q9Y265,P03468,1
47,Q6P3X3,P03468,1
48,Q5SRE5,P03468,1
49,P05091,P03468,1
50,Q9Y287,P03468,1
51,P11166,P03468,1
52,Q9UBB4,P03468,1
53,Q6NUK1,P03468,1
54,P08574,P03468,1
55,P42704,P03468,1
56,Q07973,P03468,1
57,P07237,P03468,1
58,P24539,P03468,1
59,Q96JJ7,P03468,1
60,P62820,P03468,1
61,O00483,P03468,1
62,P26641,P03468,1
63,P14625,P03468,1
64,Q16795,P03468,1
65,Q9Y679,P03468,1
66,Q9Y2X3,P03468,1
67,P60468,P03468,1
68,Q9BVK6,P03468,1
69,O60656,P03468,1
70,Q96P70,P03468,1
71,Q8NBQ5,P03468,1
72,Q9UI12,P03468,1
73,Q9UN37,P03468,1
74,O60287,P03468,1
75,O00264,P03468,1
76,Q9Y678,P03468,1
77,Q9Y5Z9,P03468,1
78,P20674,P03468,1
79,Q13509,P03468,1
80,P48047,P03468,1
81,Q14974,P03468,1
82,Q92887,P03468,1
83,P62826,P03468,1
84,Q9BUP3,P03468,1
85,Q9C005,P03468,1
86,Q9H845,P03468,1
87,P62140,P03468,1
88,Q92616,P03468,1
89,O43570,P03468,1
90,Q6ZRP7,P03468,1
91,Q7L8L6,P03468,1
92,P61619,P03468,1
93,O60725,P03468,1
94,Q9NYU2,P03468,1
95,Q8N8R3,P03468,1
96,P19224,P03468,1
97,Q9HD45,P03468,1
98,P04844,P03468,1
99,Q9UG63,P03468,1
100,Q6PJG6,P03468,1
101,P05556,P03468,1
102,O43264,P03468,1
103,P43686,P03468,1
104,Q07065,P03468,1
105,Q53GQ0,P03468,1
106,Q96CS3,P03468,1
107,Q9NPL8,P03468,1
108,P30837,P03468,1
109,P00352,P03468,1
110,Q8N163,P03468,1
111,Q9BRT8,P03428,1
112,Q8N5R6,P03428,1
113,Q6ZRV2,P03428,1
114,O75489,P03428,1
115,Q9H936,P03428,1
116,Q5SWX8,P03428,1
117,Q8TAQ2,P03428,1
118,Q96D53,P03428,1
119,Q09161,P03428,1
120,Q96DV4,P03428,1
121,Q9HAV7,P03428,1
122,P27635,P03428,1
123,P78559,P03428,1
124,P34932,P03428,1
125,P09012,P03428,1
126,O43379,P03428,1
127,Q96PK6,P03428,1
128,Q9BQG0,P03428,1
