Protein1_ID,Protein2_ID,label
P03999,P03468,0
Q16613,P03468,0
P62952,P03485,0
Q9HD36,P03466,0
Q9HD36,P03485,0
O43246,P03485,0
Q02643,P03485,0
P01374,P03485,0
P59536,P03428,0
P59536,P03485,0
P01225,P03485,0
P01135,P03466,0
Q9BSN7,P03466,0
A1L157,P03468,0
Q9P1P4,P03485,0
O14804,P03468,0
O14804,P03485,0
Q9H4F1,P03466,0
P61647,P03468,0
Q9HBU9,P03485,0
Q86TG1,P03466,0
Q86TG1,P03485,0
P35575,P03485,0
P08887,P03468,0
P08887,P03485,0
O43918,P03485,0
P34998,P03485,0
Q6TCH4,P03485,0
P51685,P03468,0
P51685,P03485,0
P51679,P03485,0
P41597,P03485,0
Q96T53,P03485,0
Q7Z3Q1,P03468,0
Q5TGU0,P03468,0
Q7Z7J7,P03468,0
Q9Y2U2,P03468,0
Q9Y2U2,P03485,0
P14138,P03468,0
Q99678,P03485,0
O00501,P03468,0
Q5BJF2,P03485,0
Q02221,P03468,0
P54840,P03468,0
P51810,P03485,0
Q8N468,P03485,0
Q6ZNB7,P03485,0
Q96N19,P03466,0
Q9NYG2,P03485,0
Q9Y256,P03466,0
Q9Y256,P03468,0
Q96CP7,P03468,0
Q9BSK0,P03466,0
Q9BSK0,P03468,0
Q9P0N8,P03485,0
Q8TDN7,P03468,0
Q53FV1,P03468,0
Q01453,P03468,0
Q66K66,P03452,0
Q8IY49,P03485,0
Q12866,P03468,0
Q9H3Y0,P03466,0
Q5QJU3,P03485,0
A6NH21,P03466,0
Q9NUD9,P03485,0
Q969S8,P03485,0
Q5VTD9,P03485,0
Q8N966,P03466,0
Q9GZZ7,P03485,0
Q6UW15,P03485,0
Q9H237,P03485,0
Q8N8Q1,P03466,0
Q8N8Q1,P03485,0
Q8N6M3,P03485,0
Q8IYS5,P03468,0
Q9BR01,P03485,0
Q6UXD7,P03466,0
Q9NPG8,P03485,0
P07306,P03452,0
Q9NUN7,P03485,0
Q8IYL9,P03485,0
O14817,P03485,0
A6NFX1,P03485,0
Q0VAF6,P03468,0
Q0GE19,P03468,0
Q9Y2T5,P03485,0
Q01629,P03468,0
Q6P1X6,P03466,0
Q6P2D0,P03485,0
O60894,P03468,0
Q9Y5Y3,P03485,0
Q96FM1,P03485,0
Q5VWC8,P03485,0
Q5VT66,P03468,0
A6NC51,P03428,0
A6NC51,P03466,0
A6NC51,P03468,0
A6NC51,P03485,0
Q8IVQ6,P03485,0
Q6UWD8,P03468,0
P32970,P03466,0
Q8NHS1,P03485,0
Q7Z4L0,P03468,0
P60606,P03468,0
O00574,P03485,0
Q5JR98,P03468,0
Q5NUL3,P03466,0
O00270,P03466,0
O00270,P03468,0
P46095,P03452,0
Q9NZD1,P03485,0
P28067,P03485,0
Q86W47,P03485,0
Q8NEP7,P03452,0
P59990,P03466,0
Q5SRR4,P03485,0
O95867,P03466,0
H3BQJ8,P03466,0
Q6UWN5,P03466,0
Q6UWN5,P03468,0
O95866,P03468,0
Q86SM8,P03508,0
Q16617,P03428,0
Q16617,P03466,0
Q16617,P03468,0
Q16617,P03485,0
Q15077,P03466,0
Q15077,P03485,0
B3GLJ2,P03485,0
Q9NZK7,P03485,0
Q9UNN8,P03468,0
Q6ISU1,P03485,0
Q9HD89,P03468,0
Q9NXI6,P03485,0
Q9Y3P8,P03452,0
Q8IY34,P03466,0
Q9NYV7,P03468,0
P56279,P03468,0
A6NCJ1,P03485,0
Q4KMG9,P03485,0
Q8WVZ1,P03485,0
O95136,P03485,0
P41146,P03468,0
P41146,P03485,0
P21754,P03485,0
P51582,P03466,0
P51582,P03485,0
Q9NYW3,P03485,0
P05014,P03485,0
Q969F8,P03485,0
P32246,P03485,0
P51677,P03485,0
Q6PEY1,P03466,0
P41231,P03485,0
Q9H1C0,P03468,0
Q9H1C0,P03485,0
P46092,P03485,0
Q9HBW0,P03485,0
P50052,P03485,0
P21918,P03485,0
Q96RI0,P03468,0
Q96RI0,P03485,0
O60755,P03485,0
Q9Y2T6,P03485,0
Q13304,P03428,0
Q13304,P03466,0
Q7Z602,P03485,0
P21730,P03485,0
Q9P296,P03468,0
P32302,P03485,0
Q99679,P03466,0
Q99679,P03468,0
Q96P67,P03485,0
Q9BYR7,P03452,0
Q96LB1,P03466,0
Q96LB1,P03485,0
O95665,P03485,0
A8MZH6,P03485,0
Q2WGJ8,P03468,0
E9PQX1,P03485,0
A6NC86,C3W5S7,0
Q96S42,C3W5S7,0
Q8N7G0,C3W5S7,0
Q9H2W2,C3W5S7,0
O75951,C3W5S7,0
P03999,C3W5S7,0
P41587,C3W5S7,0
O95409,C3W5S7,0
P13385,C3W5S7,0
Q9H255,C3W5S7,0
P01178,C3W5S7,0
P01185,C3W5S7,0
P32245,C3W5S7,0
P41145,C3W5S7,0
Q9C004,C3W5S7,0
Q0VDI3,C3W5S7,0
P46663,C3W5S7,0
P35462,C3W5S7,0
O43246,C3W5S7,0
Q6ZTI6,C3W5S7,0
Q969M2,C3W5S7,0
O43612,C3W5S7,0
Q99895,C3W5S7,0
Q9NSP4,C3W5S7,0
Q8NG41,C3W5S7,0
Q8NG41,C3W5S2,0
Q9Y5L3,C3W5S7,0
P01374,C3W5S7,0
P59536,C3W5S7,0
Q9NYW5,C3W5S7,0
P59534,C3W5S7,0
P59533,C3W5S7,0
P01225,C3W5S7,0
O00634,C3W5S7,0
Q86WB7,C3W5S7,0
P80075,C3W5S7,0
P40933,C3W5S7,0
P43116,C3W5S7,0
Q9BT56,C3W5S7,0
A1L157,C3W5S7,0
Q9P1P4,C3W5S7,0
O14804,C3W5S7,0
Q8N6I4,C3W5S7,0
Q9H4F1,C3W5S7,0
Q9HCT0,C3W5S7,0
Q9HBU9,C3W5S7,0
Q96BD0,C3W5S7,0
O95977,C3W5S7,0
Q9P0M4,C3W5S7,0
B0FP48,C3W5S7,0
P62955,C3W5S7,0
Q92911,C3W5S7,0
O75594,C3W5S7,0
Q8N434,C3W5S7,0
Q6ZNR0,C3W5S7,0
Q9NXU5,C3W5S7,0
P46094,C3W5S7,0
Q03395,C3W5S7,0
Q99592,C3W5S7,0
Q9BXT2,C3W5S7,0
Q8IXM6,C3W5S7,0
P09564,C3W5S7,0
Q6NUT3,C3W5S7,0
Q7Z4H4,C3W5S7,0
O14543,C3W5S7,0
Q9H0V1,C3W5S7,0
P78325,C3W5S7,0
Q86TG1,C3W5S7,0
Q9BYD5,C3W5S7,0
P54849,C3W5S7,0
Q6UWL6,C3W5S7,0
P08887,C3W5S7,0
