Protein1_ID,Protein2_ID,label
Q99729,P03496,1
Q14103,P03496,1
P51991,P03496,1
Q12906,P03496,1
P09651,P03496,1
P68104,P03496,1
P22626,P03496,1
Q08211,P03496,1
P07437,P03496,1
P62750,P03496,1
O14907,P03496,1
P06733,P03496,1
O15226,P03496,1
Q13227,P03508,1
Q00839,P03496,1
Q4J6C6,P03508,1
P63167,P03508,1
O60506,P03496,1
Q8N4C6,P03508,1
Q96MW5,P03508,1
P35658,P03508,1
P21912,P03508,1
P05141,P03496,1
P38159,P03496,1
Q16777,P03496,1
Q9UBW7,P03508,1
Q9NYF8,P03496,1
P06733,P03508,1
P48643,P03496,1
P63010,P03508,1
P35637,P03496,1
P19429,P03508,1
O75569,P03496,1
Q8TD31,P03508,1
P68371,P03496,1
Q96KK5,P03496,1
Q5SXM2,P03508,1
Q9NS73,P03508,1
P43243,P03496,1
P04908,P03496,1
P67809,P03496,1
Q9Y230,P03496,1
Q6FI13,P03496,1
P31943,P03496,1
O14908,P03496,1
P62269,P03496,1
P15822,P03508,1
Q7L7L0,P03496,1
P16989,P03496,1
P14866,P03496,1
Q13151,P03496,1
Q9NZI8,P03496,1
Q15365,P03496,1
Q9NY93,P03496,1
Q15366,P03496,1
P49589,P03496,1
P62805,P03496,1
P55265,P03496,1
O00505,P03496,1
P61978,P03496,1
O95229,P03508,1
Q9H3R5,P03508,1
P52292,P03496,1
P08865,P03508,1
P62258,P03496,1
Q9H257,P03508,1
Q96SI9,P03496,1
O43707,P03466,1
Q9Y265,P03496,1
Q05639,P03496,1
Q13155,P03508,1
Q9BUJ2,P03496,1
P07900,P03496,1
P07942,P03508,1
P52294,P03466,1
P27540,P03508,1
Q9H1D9,P03496,1
O43303,P03508,1
Q9NX74,P03496,1
Q9UKM9,P03496,1
Q8NC69,P03496,1
O75348,P03496,1
P63104,P03496,1
P10809,P03496,1
O75348,P03508,1
Q9Y3I0,P03496,1
O14654,P03496,1
Q9Y6X2,P03508,1
P62847,P03496,1
P06576,P03496,1
Q13105,P03496,1
Q9Y6N6,P03508,1
Q9UIA0,P03508,1
P46782,P03496,1
P08238,P03496,1
P07910,P03496,1
P17844,P03496,1
P36873,P03496,1
Q13561,P03508,1
Q15633,P03496,1
P04406,P03496,1
P31946,P03496,1
Q9BTM1,P03496,1
Q07666,P03496,1
Q49A26,P03496,1
Q9H1D9,P03508,1
P27986,P03496,1
O43143,P03496,1
Q15717,P03496,1
P52597,P03496,1
P19429,P03496,1
Q15942,P03496,1
Q92900,P03496,1
Q96RT1,P03508,1
O95219,P03508,1
Q8N163,P03496,1
P29966,P03496,1
P63241,P03496,1
Q9Y6X2,P03496,1
O75525,P03496,1
P62937,P03496,1
P63279,P03496,1
Q8N9N5,P03431,1
O75410,P03428,1
P21912,P03496,1
Q03188,P03496,1
P61981,P03496,1
Q12905,P03496,1
Q6PI77,P03508,1
Q13227,P03496,1
P11940,P03496,1
P08865,P03496,1
Q9Y224,P03496,1
Q9Y2V7,P03508,1
P22087,P03496,1
Q9Y6M1,P03496,1
P52292,P03466,1
O14641,P03428,1
P62879,P03496,1
P18583,P03496,1
O60684,P03466,1
P07900,P03428,1
Q71U36,P03496,1
Q12800,P03431,1
O00459,P03496,1
Q8NHQ1,P03428,1
Q16656,P03431,1
P22492,P03496,1
Q8TD10,P03508,1
Q06547,P03431,1
Q86U42,P03496,1
Q99081,P03431,1
P18669,P03496,1
O95793,P03496,1
P05386,P03496,1
Q9P1Z2,P03428,1
Q92997,P03428,1
P15259,P03496,1
Q9UL40,P03496,1
P30041,P03496,1
P55795,P03496,1
Q5JVF3,P03496,1
Q9Y692,P03508,1
Q92997,P03508,1
Q93062,P03508,1
Q8TD10,P03428,1
Q9H2G9,P03428,1
P35520,P06821,1
P52292,P03428,1
P62136,P03496,1
O95786,P03496,1
P40429,P03496,1
Q96FJ2,P03508,1
Q96RT1,P03496,1
Q8N448,P03428,1
P23396,P03496,1
P26599,P03496,1
O00410,P03431,1
Q14258,P03496,1
P06396,P03433,1
P00558,P03496,1
Q8NF50,P03428,1
P62424,P03496,1
Q8N448,P03508,1
O43719,P03466,1
P62140,P03496,1
P51116,P03431,1
Q8NC51,P03496,1
Q92966,P03496,1
Q13123,P03428,1
O14641,P03508,1
Q99081,P03428,1
P35579,P03496,1
Q8NHQ1,P03508,1
Q9UBW7,P03496,1
P52294,P03496,1
Q8WWM7,P03496,1
P68104,P03431,1
Q9P1Z2,P03508,1
Q9BQE3,P03496,1
P25685,P03496,1
Q7Z3B4,P03433,1
P27797,P03496,1
Q08AM6,P03508,1
Q2TAY7,P03428,1
O14503,P03508,1
Q9Y244,P03508,1
Q92499,P03496,1
P12036,P03496,1
P19525,P03496,1
P57721,P03496,1
Q8N448,P03496,1
P62873,P03496,1
P60660,P03496,1
Q12933,P03508,1
Q8N5I3,P03428,1
Q8N6Y0,P03508,1
P12235,P03496,1
Q9NPA8,P03496,1
P19338,P03496,1
Q9H2G9,P03508,1
Q6PI77,P03496,1
P35580,P03496,1
Q93062,P03431,1
P63208,P03508,1
Q8ND90,P03508,1
O60684,P03496,1
P13639,P03496,1
P07195,P03496,1
P27986,P69277,1
P31689,P03496,1
P04075,P03496,1
P42338,P03496,1
O14641,P03485,1
Q8N9N5,P03496,1
P12277,P03496,1
Q9HCE1,P03496,1
O00571,P03496,1
Q9NNW5,P03496,1
Q93062,P03428,1
Q9Y2I1,P03496,1
O75410,P03508,1
Q15654,P03431,1
Q9GZV4,P03496,1
Q9NUL3,P03496,1
P80723,P03496,1
Q8NF50,P03508,1
Q92997,P03485,1
Q9Y6N5,P03496,1
P51116,P03496,1
P08238,P03428,1
P84090,P03496,1
P40227,P03496,1
Q12800,P03508,1
P07237,P03431,1
O60814,P03496,1
O95071,P03428,1
Q5TA45,P03496,1
P62195,P03496,1
Q9UJ41,P03428,1
P35998,P03496,1
Q93079,P03496,1
Q92841,P03496,1
Q32MZ4,P03433,1
Q08380,P03496,1
O00505,P03433,1
P18124,P03496,1
O14641,P03431,1
Q13126,P03496,1
O00425,P03496,1
Q8N448,P03433,1
Q8N9N5,P03508,1
P40692,P03466,1
Q7L2E3,P03496,1
O15523,P03496,1
P61353,P03496,1
P11021,P03496,1
O00629,P03496,1
Q9UBU9,P03496,1
O00629,P03466,1
Q8NHQ1,P03431,1
Q96IK5,P03466,1
P60174,P03496,1
P42336,P03496,1
Q8N448,P03485,1
Q99081,P03508,1
Q9P2Y5,P03508,1
P35268,P03496,1
Q9HAV0,P03496,1
Q8N448,P06821,1
Q8N5R6,P03508,1
Q92997,P03431,1
P17980,P03496,1
P35637,P03431,1
P02511,P03508,1
O14979,P03496,1
P23497,P03496,1
P30050,P03496,1
Q13885,P03496,1
P62917,P03431,1
Q9Y692,P03496,1
Q96MC5,P03466,1
Q8WYJ6,P03496,1
O00459,C3W5S7,1
Q92569,P03496,1
O14641,P06821,1
Q8N6Y0,P03431,1
P52272,P03496,1
P08579,P03496,1
P22234,P03496,1
P04350,P03496,1
P52294,P03428,1
Q5SXM2,P03496,1
Q9UKK6,P03496,1
O95639,P03496,1
O75369,P03496,1
P51116,P03428,1
O75953,P03496,1
P07237,P03428,1
O14818,P03496,1
P63279,P03431,1
Q92997,P06821,1
P50222,P03485,1
O14654,C3W5S7,1
P14174,P03496,1
P46778,P03496,1
P62917,P03496,1
P62701,P03496,1
P62899,P03496,1
Q86YZ3,P03496,1
O43823,P03428,1
Q8IUE6,P03496,1
P30101,P03496,1
O43889,P03508,1
P45984,P03496,1
Q9UJC3,P03428,1
P0C7W6,P03508,1
P62829,P03496,1
Q9H190,P03485,1
Q93062,P06821,1
P33993,P03433,1
Q13247,P03496,1
P13674,P03431,1
P24928,P03431,1
Q9BVA1,P03496,1
Q12906,P03466,1
P25205,P03433,1
Q6NZY4,P03431,1
P45984,P03428,1
Q9UQ80,P03431,1
P05204,P03496,1
P15822,P03496,1
Q96FZ7,P03433,1
O43889,P03428,1
P27348,P03496,1
P50222,P03431,1
P68366,P03496,1
Q9HA38,P03496,1
P51116,P03508,1
P08195,P03431,1
O14818,P03433,1
Q9UI10,P06821,1
P13667,P03496,1
P62851,P03496,1
Q9UL15,P03431,1
Q9UL40,P03431,1
P50570,P03433,1
Q08211,P69277,1
O00410,P03468,1
P50222,P03433,1
Q562R1,P03496,1
P49736,P03433,1
Q8TD10,P03466,1
Q15773,P03428,1
P63208,P03496,1
P33991,P03433,1
Q8N9N5,P03428,1
Q9NTK5,P03433,1
Q49A26,P03508,1
P07237,P03496,1
Q5JVF3,C3W5S7,1
P24928,P03466,1
Q9C099,P03496,1
P68363,P03496,1
Q5H9R7,P03431,1
Q96RP9,P03508,1
Q9Y2X3,P03428,1
P05388,P03496,1
P08195,P06821,1
Q14764,P03431,1
P18621,P03496,1
Q07817,P03496,1
O00505,P03428,1
P83731,P03496,1
Q13190,P03496,1
O95793,P03485,1
P42766,P03496,1
P10746,P03433,1
P53007,P03452,1
Q8WUK0,P03433,1
P50570,P06821,1
P62263,P03496,1
P46777,P03496,1
Q01813,P03496,1
P60709,P03466,1
Q9UHR5,P03496,1
O75489,P03433,1
O00159,P03496,1
O14980,P03466,1
P11142,P03496,1
Q13315,P03433,1
O00505,P03466,1
Q8NHQ1,P03466,1
P48553,P06821,1
O43889,P03452,1
Q13362,P03433,1
P36578,P03496,1
P16104,P03496,1
P63220,P03496,1
Q15233,P03496,1
Q8WVX9,P03452,1
Q9H1Y0,P03508,1
P04233,P03431,1
O75964,P03496,1
P39019,P03496,1
P15311,P03485,1
Q12800,P03485,1
P14678,P03496,1
Q9NZM1,P03496,1
Q9BXR0,P03433,1
Q9Y305,P03433,1
Q14011,P03496,1
P39023,P03496,1
Q9H3Q1,P03433,1
Q8NI08,P03428,1
Q8IX01,P03428,1
Q9UNP9,P03496,1
Q9H898,P03485,1
Q12800,P06821,1
Q92905,P03496,1
O95639,P69277,1
O75569,P03485,1
O95817,P03496,1
Q13126,P03466,1
Q9UHQ4,P03433,1
P50990,P03496,1
Q9Y224,P03433,1
Q5W0U4,P03508,1
Q6UN15,P03496,1
P62318,P03496,1
P49736,P03466,1
Q6IB77,P03433,1
Q96B26,P03485,1
Q9NZF1,P03431,1
Q15365,P03433,1
P60709,P03496,1
Q9UKT9,P03431,1
P49368,P03496,1
Q9UHV9,P03496,1
Q09472,P03496,1
Q5BKZ1,P03496,1
Q99653,P03452,1
P62280,P03496,1
P51116,P03466,1
P46108,P03496,1
O60684,P03428,1
Q96EC8,P03433,1
Q6IBW4,P03433,1
P10599,P03496,1
Q8IUR0,P06821,1
P47914,P03496,1
O60869,P03496,1
P24534,P03496,1
Q9Y5P4,P03452,1
Q13838,P03466,1
O60832,P03496,1
Q9Y6X0,P06821,1
P25788,P03496,1
Q8N9N5,I6S532,1
Q99615,P03496,1
P01871,P03431,1
P63010,Q02600,1
P37840,P03496,1
P05114,P03496,1
Q9BSY4,P03508,1
Q96Q05,P06821,1
Q9Y5V3,P03496,1
Q9P035,P03452,1
P23246,P03496,1
Q12983,P03466,1
Q9H892,P03431,1
P62191,P03496,1
Q13077,P03466,1
P81877,P03433,1
O95831,P03496,1
Q13111,P03428,1
Q96D05,P03433,1
Q9Y224,P03428,1
Q92526,P03496,1
P55209,P03496,1
Q15293,P03496,1
Q9UQ35,P03496,1
Q8N661,P03433,1
Q96CS3,P03468,1
O43242,P03496,1
P55072,P03496,1
P26373,P03496,1
P41208,P03496,1
Q7L7L0,P69277,1
O00629,P03428,1
P78371,P03496,1
P60866,P03496,1
Q13105,P03508,1
Q92769,P03496,1
P35250,P03496,1
P04908,P69277,1
P25398,P03496,1
P09661,P03496,1
P50222,P03468,1
Q8WU90,P03496,1
Q96PV6,P03496,1
P61254,P03496,1
Q9Y237,P03496,1
Q8WUM4,P03496,1
Q02539,P03496,1
P06748,P03496,1
P62834,P03496,1
P46109,P03496,1
P62266,P03496,1
P45378,P03496,1
Q01844,P03496,1
Q9Y3B7,P03496,1
Q9UDY4,P03496,1
Q6FI13,P69277,1
Q96KK5,P69277,1
Q99460,P03496,1
O75688,P03496,1
P16615,P03496,1
P36542,P03496,1
Q9BW30,P03496,1
P09543,P03496,1
Q86SE5,P03496,1
O75821,P03496,1
Q9Y4W6,P03496,1
P10916,P03496,1
Q86V81,P03496,1
Q9BRT6,P03496,1
Q12906,P69277,1
P29692,P03433,1
Q05639,P03431,1
P50991,P03496,1
P50914,P03496,1
P68400,P03496,1
Q92905,P03428,1
P55145,P03496,1
Q13123,P03496,1
P11142,P03428,1
P08047,P03496,1
Q14696,P03496,1
P62820,P03496,1
Q14444,P03496,1
P61026,P03496,1
P05387,P03496,1
Q12959,P03496,1
P62736,P03496,1
P16402,P03496,1
Q9NX63,P03496,1
P24928,P03433,1
P27824,P03496,1
P25685,P03428,1
P35232,P03496,1
Q9NRF9,P03496,1
Q71UI9,P03496,1
O95926,P03496,1
Q13573,P03496,1
P52565,P03496,1
P61956,P03496,1
P99999,P03496,1
Q96K17,P03496,1
Q16629,P03496,1
P68431,P03496,1
P98179,P03496,1
Q9BUF5,P03496,1
P12004,P03428,1
Q9Y2W1,P03496,1
P52292,P69277,1
P51948,P03428,1
Q8TDD1,P03428,1
P27694,P03496,1
P14649,P03496,1
O76031,P03496,1
P47813,P03496,1
P68371,P03428,1
P62316,P03496,1
O60506,P69277,1
P09012,P03496,1
P26378,P03496,1
Q14151,P03496,1
O94842,P03496,1
P62826,P03496,1
P61247,P03496,1
O60841,P03496,1
O76070,P03496,1
O75190,P03496,1
P34932,P03496,1
Q9Y295,P03496,1
P82979,P03496,1
P06576,P03508,1
Q9NP72,P03496,1
P52815,P03496,1
Q8WUD4,P03496,1
Q16143,P03496,1
Q92793,P03496,1
P82970,P03496,1
Q92882,P03496,1
P52566,P03496,1
P51991,P69277,1
Q16777,P69277,1
Q9H9Y2,P03496,1
Q5VWX1,P03496,1
P60880,P03496,1
P18583,P69277,1
P17987,P03496,1
P07437,P03428,1
P12829,P03496,1
O95071,P03496,1
Q13442,P03496,1
P0DP24,P03496,1
Q9HAV7,P03496,1
P29692,P03496,1
Q13509,P03496,1
P43686,P03496,1
P61011,P03496,1
O95816,P03496,1
Q93062,P03496,1
Q8N257,P03496,1
P09104,P03496,1
Q9H0U4,P03496,1
Q8N4Q1,P03496,1
P0C0S5,P03496,1
P11142,P03485,1
P46776,P03496,1
Q71DI3,P03496,1
P14618,P03496,1
P0DP23,P03496,1
Q96PU8,P03496,1
P12814,P03496,1
Q96MW1,P03496,1
Q9BQE3,P03508,1
Q8IY31,P03496,1
Q7L266,P03496,1
Q07020,P03496,1
O75947,P03496,1
Q02878,P03496,1
P14927,P03496,1
P54652,P03496,1
Q07955,P03496,1
P04350,P03428,1
P25789,P03496,1
Q9UKL0,P03496,1
P78352,P03496,1
P35658,P03496,1
Q9ULR0,P03496,1
O75477,P03496,1
Q9Y3U8,P03496,1
P68104,P03508,1
P47914,P03431,1
P34931,P03496,1
P07205,P03496,1
Q9UBW7,Q02600,1
P22626,P69277,1
Q13287,P03496,1
O15372,P03496,1
P11940,P69277,1
Q9P2K5,P03496,1
P29692,P03428,1
P09874,P03496,1
Q7Z3B4,P03496,1
Q9NRD5,P03496,1
Q99832,P03496,1
P11166,P03496,1
P14209,P03496,1
P08240,P03496,1
P23528,P03496,1
P24844,P03496,1
Q13287,P03428,1
Q9Y2R9,P03496,1
Q00688,P03496,1
Q9Y3B4,P03496,1
O15182,P03496,1
P63261,P03496,1
Q9Y5K8,P03496,1
P27816,P03496,1
Q96QR8,P03496,1
Q08379,P03431,1
P02585,P03496,1
P62753,P03496,1
Q96SI9,P69277,1
Q9BUJ2,P69277,1
P43686,P03428,1
P17677,P03496,1
P16403,P03496,1
Q9H7B2,P03496,1
P62249,P03496,1
Q8N6Y0,P03428,1
P07108,P03496,1
P13929,P03496,1
O94905,P03496,1
Q14254,P03496,1
O15226,P69277,1
Q9NVQ4,P03496,1
P23396,P03431,1
P11142,P03508,1
P17858,P03496,1
P61978,P69277,1
P07437,P69277,1
Q9HC07,P03496,1
Q9NQR1,P03496,1
O95816,P03428,1
P0DP25,P03496,1
P28331,P03496,1
P49589,P69277,1
Q96CW1,P03496,1
Q92520,P03496,1
Q9UNE7,P03496,1
P20226,P03496,1
A6NKN8,P03496,1
P51149,P03496,1
P59282,P03496,1
P62854,P03496,1
Q13185,P03496,1
P12268,P03496,1
