Protein1_ID,Protein2_ID,label
12983,6,0
1402,6,0
15612,6,0
12430,6,0
4147,6,0
2036,6,0
10677,6,0
9328,6,0
6779,6,0
13727,6,0
12087,6,0
3861,6,0
8929,6,0
2628,6,0
15350,6,0
13165,6,0
2656,6,0
13938,6,0
2359,6,0
11762,6,0
15218,6,0
13995,6,0
11528,6,0
13817,6,0
8715,6,0
5492,6,0
5109,6,0
7703,6,0
13174,6,0
8600,6,0
15424,6,0
3351,6,0
5809,6,0
7852,6,0
13889,6,0
10753,6,0
15527,6,0
5023,6,0
7441,6,0
9042,6,0
1093,6,0
2215,6,0
240,6,0
6238,6,0
4459,6,0
1725,6,0
15341,6,0
2480,6,0
15279,6,0
11747,6,0
8404,6,0
7778,6,0
13560,6,0
2203,6,0
595,6,0
332,6,0
12890,6,0
5950,6,0
13405,6,0
2406,6,0
4486,6,0
13103,6,0
8679,6,0
81,6,0
5578,6,0
7547,6,0
7352,6,0
7989,6,0
13163,6,0
1839,6,0
8804,6,0
940,6,0
7973,6,0
6630,6,0
15122,6,0
566,6,0
826,6,0
12996,6,0
9426,6,0
10685,6,0
14086,6,0
9911,6,0
115,6,0
3749,6,0
2644,6,0
12803,6,0
14010,6,0
13659,6,0
8790,6,0
3850,6,0
8438,6,0
2116,6,0
14890,6,0
3906,6,0
3234,6,0
15133,6,0
12247,6,0
14525,6,0
6583,6,0
1978,6,0
2990,6,0
13335,6,0
15402,6,0
5600,6,0
10179,6,0
9436,6,0
5298,6,0
9385,6,0
10501,6,0
15652,6,0
15171,6,0
14884,6,0
8820,6,0
3530,6,0
12137,6,0
12340,6,0
15119,6,0
4127,6,0
11087,6,0
12481,6,0
7023,6,0
902,6,0
14190,6,0
10506,6,0
6397,6,0
15343,6,0
12408,6,0
1327,6,0
14493,6,0
10137,6,0
13845,6,0
2846,6,0
12776,6,0
4950,6,0
7774,6,0
159,6,0
11416,6,0
5462,6,0
15648,6,0
1005,6,0
4604,6,0
3704,6,0
12346,6,0
1334,6,0
13556,6,0
12364,6,0
8262,6,0
9001,6,0
2403,6,0
3231,6,0
12974,6,0
8018,6,0
12538,6,0
13694,6,0
5672,6,0
3046,6,0
13717,6,0
10463,6,0
9642,6,0
15360,6,0
14484,6,0
13652,6,0
14056,6,0
12659,6,0
12042,6,0
5723,6,0
14454,6,0
13611,6,0
4946,6,0
11090,6,0
4839,6,0
3008,6,0
12266,6,0
13765,6,0
588,6,0
14759,6,0
15251,6,0
14755,6,0
8426,6,0
14085,6,0
9363,6,0
1031,6,0
5417,6,0
14090,6,0
10600,6,0
10855,6,0
12920,6,0
5757,6,0
14800,6,0
13612,6,0
3349,6,0
7253,6,0
10750,6,0
12939,6,0
5283,6,0
1016,6,0
2982,6,0
1071,6,0
2781,6,0
14827,6,0
2609,6,0
8612,6,0
8930,6,0
13123,6,0
638,6,0
1633,6,0
8546,6,0
8475,6,0
13590,6,0
12431,6,0
15401,6,0
6840,6,0
12084,6,0
8567,6,0
14461,6,0
14887,6,0
9693,6,0
14606,6,0
8459,6,0
14001,6,0
12047,6,0
12380,6,0
856,6,0
2189,6,0
15546,6,0
9816,6,0
13951,6,0
13751,6,0
2658,6,0
14009,6,0
2629,6,0
3744,6,0
466,6,0
9038,6,0
3863,6,0
13952,6,0
9032,6,0
14955,6,0
14268,6,0
15233,6,0
9051,6,0
15347,6,0
4151,6,0
4851,6,0
13168,6,0
12652,6,0
3135,6,0
9722,6,0
8079,6,0
11784,6,0
15583,6,0
11346,6,0
4442,6,0
14404,6,0
14115,6,0
15625,6,0
9717,6,0
13785,6,0
15619,6,0
6313,6,0
89,6,0
1810,6,0
1792,6,0
1677,6,0
13544,6,0
6711,6,0
10409,6,0
485,6,0
14239,6,0
12829,6,0
261,6,0
5490,6,0
4821,6,0
14828,6,0
6305,6,0
15170,6,0
2453,6,0
12562,6,0
14907,6,0
301,6,0
2648,6,0
13993,6,0
14133,6,0
12754,6,0
6750,6,0
13616,6,0
3257,6,0
9633,6,0
11175,6,0
3671,6,0
2186,6,0
13082,6,0
8124,6,0
4915,6,0
11614,6,0
3757,6,0
7374,6,0
10751,6,0
6010,6,0
579,6,0
12385,6,0
9519,6,0
15271,6,0
8838,6,0
15392,6,0
9917,6,0
8859,6,0
746,6,0
1143,6,0
3518,6,0
6947,6,0
1680,6,0
1073,6,0
5111,6,0
13999,6,0
14199,6,0
15126,6,0
5025,6,0
15523,6,0
9887,6,0
15605,6,0
495,6,0
15396,6,0
2401,6,0
13231,6,0
1509,6,0
14271,6,0
4148,6,0
1251,6,0
13998,6,0
14058,6,0
2543,6,0
14906,6,0
12590,6,0
3706,6,0
5599,6,0
9813,6,0
5781,6,0
15231,6,0
2977,6,0
5670,6,0
14113,6,0
5706,6,0
12225,6,0
11057,6,0
9446,6,0
13306,6,0
13317,6,0
5535,6,0
1710,6,0
330,6,0
4134,6,0
4130,6,0
609,6,0
4664,6,0
11751,6,0
4091,6,0
9630,6,0
12239,6,0
15228,6,0
1664,6,0
12407,6,0
11786,6,0
15277,6,0
7785,6,0
5771,6,0
13241,6,0
6744,6,0
14119,6,0
12040,6,0
13266,6,0
9281,6,0
14171,6,0
1654,6,0
9922,6,0
1140,6,0
4701,6,0
3945,6,0
15604,6,0
11402,6,0
15223,6,0
9210,6,0
12501,6,0
15378,6,0
2358,6,0
11282,6,0
1332,6,0
3095,6,0
14886,6,0
8639,6,0
13547,6,0
5805,6,0
5584,6,0
7615,6,0
14560,6,0
14729,6,0
2017,6,0
87,6,0
5024,6,0
15178,6,0
1631,6,0
7762,6,0
7929,6,0
13557,6,0
13976,6,0
3143,6,0
11971,6,0
1077,6,0
7688,6,0
12915,6,0
3385,6,0
12362,6,0
4122,6,0
12947,6,0
6815,6,0
11405,6,0
11695,6,0
3886,6,0
6087,6,0
5605,6,0
3808,6,0
5738,6,0
14280,6,0
2043,6,0
8311,6,0
3209,6,0
14136,6,0
7644,6,0
3220,6,0
11433,6,0
4187,6,0
4124,6,0
15425,6,0
13904,6,0
10979,6,0
14498,6,0
15512,6,0
3968,6,0
4244,6,0
4416,6,0
3962,6,0
12587,6,0
4178,6,0
618,6,0
13592,6,0
10184,6,0
4787,6,0
13535,6,0
12141,6,0
12983,5,0
11916,5,0
1402,5,0
15612,5,0
12430,5,0
6995,5,0
6779,5,0
7864,5,0
13727,5,0
12087,5,0
3861,5,0
8929,5,0
2628,5,0
15350,5,0
13165,5,0
2656,5,0
13938,5,0
11762,5,0
15218,5,0
7968,5,0
13995,5,0
11528,5,0
13817,5,0
5492,5,0
5109,5,0
7703,5,0
13174,5,0
8600,5,0
15424,5,0
3351,5,0
5809,5,0
7852,5,0
10400,5,0
13889,5,0
10753,5,0
15527,5,0
2137,5,0
5023,5,0
7441,5,0
9042,5,0
1093,5,0
240,5,0
6238,5,0
4459,5,0
10826,5,0
1725,5,0
15341,5,0
2480,5,0
6333,5,0
106,5,0
15279,5,0
11747,5,0
4379,5,0
8404,5,0
511,5,0
7778,5,0
2203,5,0
595,5,0
332,5,0
15400,5,0
12890,5,0
5950,5,0
13405,5,0
4486,5,0
13103,5,0
8679,5,0
81,5,0
5578,5,0
7352,5,0
7989,5,0
13139,5,0
13163,5,0
1839,5,0
8804,5,0
940,5,0
7973,5,0
6630,5,0
15122,5,0
566,5,0
826,5,0
12996,5,0
9426,5,0
10685,5,0
942,5,0
14086,5,0
9911,5,0
9228,5,0
115,5,0
3749,5,0
2644,5,0
12803,5,0
2107,5,0
14010,5,0
13659,5,0
5525,5,0
8790,5,0
3850,5,0
8438,5,0
2116,5,0
14890,5,0
3906,5,0
3234,5,0
4278,5,0
8040,5,0
15133,5,0
12247,5,0
14525,5,0
9969,5,0
6583,5,0
1978,5,0
2990,5,0
13965,5,0
15402,5,0
5600,5,0
10179,5,0
9436,5,0
5298,5,0
3233,5,0
9385,5,0
10501,5,0
15171,5,0
8820,5,0
12137,5,0
12340,5,0
15119,5,0
4127,5,0
11087,5,0
12481,5,0
11373,5,0
1445,5,0
7023,5,0
902,5,0
6397,5,0
15343,5,0
12408,5,0
1327,5,0
4978,5,0
14493,5,0
1329,5,0
13845,5,0
2846,5,0
12776,5,0
4950,5,0
10157,5,0
7774,5,0
11416,5,0
14793,5,0
1005,5,0
4604,5,0
4784,5,0
12346,5,0
1334,5,0
13556,5,0
13553,5,0
11716,5,0
15177,5,0
12364,5,0
14368,5,0
8262,5,0
415,5,0
9001,5,0
2403,5,0
3231,5,0
14737,5,0
12974,5,0
8018,5,0
6677,5,0
12538,5,0
13694,5,0
5672,5,0
3046,5,0
13717,5,0
9143,5,0
10463,5,0
9642,5,0
4535,5,0
7966,5,0
15360,5,0
14484,5,0
13652,5,0
14056,5,0
12659,5,0
14454,5,0
4946,5,0
11090,5,0
4839,5,0
6156,5,0
13902,5,0
3008,5,0
12266,5,0
13765,5,0
588,5,0
14759,5,0
14605,5,0
15251,5,0
14755,5,0
8426,5,0
14085,5,0
4300,5,0
1031,5,0
6941,5,0
5417,5,0
14090,5,0
10600,5,0
10855,5,0
5757,5,0
14800,5,0
13612,5,0
7253,5,0
6066,5,0
10750,5,0
12939,5,0
1016,5,0
1071,5,0
3967,5,0
2781,5,0
14827,5,0
2609,5,0
8612,5,0
8930,5,0
13177,5,0
1538,5,0
13123,5,0
638,5,0
1633,5,0
8546,5,0
8355,5,0
13590,5,0
12431,5,0
2639,5,0
752,5,0
15401,5,0
6840,5,0
12084,5,0
8567,5,0
14461,5,0
14887,5,0
15118,5,0
9693,5,0
14606,5,0
8459,5,0
14001,5,0
12047,5,0
12380,5,0
856,5,0
13550,5,0
15546,5,0
9816,5,0
1420,5,0
11496,5,0
13951,5,0
3851,5,0
2658,5,0
14009,5,0
2629,5,0
3744,5,0
15149,5,0
466,5,0
9038,5,0
3863,5,0
9032,5,0
14955,5,0
15233,5,0
9051,5,0
15347,5,0
4851,5,0
6600,5,0
13168,5,0
12652,5,0
3135,5,0
9722,5,0
11784,5,0
15583,5,0
11346,5,0
7027,5,0
14115,5,0
107,5,0
15625,5,0
14091,5,0
15301,5,0
9920,5,0
905,5,0
9717,5,0
13785,5,0
11397,5,0
15619,5,0
6313,5,0
11389,5,0
2559,5,0
1810,5,0
1792,5,0
1449,5,0
13544,5,0
6711,5,0
10409,5,0
485,5,0
14239,5,0
12829,5,0
2178,5,0
52,5,0
2638,5,0
4690,5,0
4821,5,0
4704,5,0
10057,5,0
14828,5,0
11409,5,0
15170,5,0
3827,5,0
14907,5,0
301,5,0
2648,5,0
13993,5,0
14133,5,0
12754,5,0
6750,5,0
10989,5,0
13616,5,0
3257,5,0
11175,5,0
14790,5,0
3671,5,0
13082,5,0
8124,5,0
4915,5,0
7653,5,0
11614,5,0
3757,5,0
7374,5,0
9921,5,0
4781,5,0
9769,5,0
10751,5,0
6010,5,0
579,5,0
12385,5,0
9519,5,0
15271,5,0
8838,5,0
9917,5,0
8859,5,0
746,5,0
1143,5,0
6947,5,0
5413,5,0
1680,5,0
1073,5,0
12392,5,0
9601,5,0
14199,5,0
14006,5,0
15126,5,0
5618,5,0
5025,5,0
15523,5,0
9887,5,0
15605,5,0
495,5,0
15396,5,0
2401,5,0
1780,5,0
13231,5,0
7984,5,0
14271,5,0
4148,5,0
1251,5,0
13998,5,0
3441,5,0
15365,5,0
2543,5,0
622,5,0
14906,5,0
7468,5,0
12590,5,0
3706,5,0
9813,5,0
12609,5,0
7281,5,0
5781,5,0
4903,5,0
2977,5,0
5017,5,0
5670,5,0
14113,5,0
5706,5,0
11562,5,0
7791,5,0
5556,5,0
11057,5,0
9446,5,0
13306,5,0
13317,5,0
5535,5,0
1710,5,0
4134,5,0
4130,5,0
8342,5,0
9088,5,0
609,5,0
4664,5,0
1359,5,0
11751,5,0
5416,5,0
4091,5,0
9630,5,0
12239,5,0
1413,5,0
3588,5,0
10336,5,0
1664,5,0
7243,5,0
11786,5,0
15277,5,0
7785,5,0
12091,5,0
5771,5,0
13241,5,0
4291,5,0
340,5,0
14826,5,0
12040,5,0
13266,5,0
9281,5,0
14171,5,0
1654,5,0
9922,5,0
3926,5,0
1140,5,0
4701,5,0
3945,5,0
15604,5,0
11402,5,0
15223,5,0
12602,5,0
12501,5,0
13977,5,0
15378,5,0
2358,5,0
11282,5,0
1332,5,0
3095,5,0
14886,5,0
8639,5,0
13547,5,0
5584,5,0
9090,5,0
7615,5,0
14560,5,0
14729,5,0
2017,5,0
12078,5,0
87,5,0
4313,5,0
5024,5,0
15178,5,0
1631,5,0
7762,5,0
5118,5,0
12985,5,0
7929,5,0
13976,5,0
3143,5,0
11971,5,0
14423,5,0
7688,5,0
515,5,0
12362,5,0
4122,5,0
7269,5,0
2109,5,0
