Protein1_ID,Protein2_ID,label
A4IF30,P03485,0
A6NC86,P03466,0
A6NC86,P03468,0
A6NC86,P03485,0
Q6UX82,P03485,0
A6NCI4,P03485,0
Q8TDX9,P03485,0
Q03828,P03452,0
P31276,P03452,0
Q96S42,P03468,0
P60852,P03468,0
P60852,P03485,0
P02708,P03468,0
Q9H6I2,P03468,0
O95833,P03468,0
Q9H2W2,P03452,0
Q8IXA5,P03452,0
Q8IXA5,P03466,0
Q8IXA5,P03468,0
O75951,P03468,0
O75951,P03485,0
P27539,P03468,0
P11161,P03466,0
P17509,P03466,0
Q13351,P03468,0
Q0VG99,P03466,0
Q9BRJ9,P03466,0
O43323,P03468,0
P56705,P03485,0
P09067,P03452,0
O75508,P03485,0
P03901,P03428,0
P03999,P03428,0
P03999,P03468,0
P03999,P03485,0
P41587,P03466,0
P41587,P03485,0
O14727,P03485,0
Q6NUJ1,P03466,0
Q6NUJ1,P03485,0
Q9GZX9,P03485,0
O95832,P03468,0
Q5T4F7,P03466,0
Q5T4F7,P03485,0
Q5T4F7,P06821,0
Q13394,P03468,0
Q13394,P03485,0
Q9NYJ7,P03466,0
Q9NPG2,P03468,0
Q9Y6C5,P03468,0
O95436,P03485,0
P10082,P03466,0
Q92988,P03452,0
Q16613,P03468,0
Q16613,P03485,0
P13385,P03468,0
P13385,P03485,0
P13385,P0C0U1,0
Q14623,P03468,0
Q14623,P03485,0
P01344,P03468,0
Q92837,P03468,0
P03897,P03466,0
P62952,P03466,0
P62952,P03468,0
P62952,P03485,0
Q9BWX5,P03468,0
Q5XKR4,P03485,0
Q8N100,P03468,0
Q9H255,P03468,0
Q9H255,P03485,0
O43174,P03468,0
P18075,P03468,0
O00219,P03428,0
P01178,P03466,0
P01178,P03485,0
P01178,P06821,0
P01185,P03466,0
P01185,P03485,0
Q7Z6K4,P03468,0
Q8N609,P03468,0
Q8N609,P03485,0
P32245,P03468,0
P32245,P03485,0
P32245,P0C0U1,0
P08833,P03485,0
P78562,P03466,0
Q86WK9,P03428,0
Q86WK9,P03466,0
Q86WK9,P03485,0
Q8TEZ7,P03485,0
P41145,P03485,0
P60201,P03428,0
P60201,P03485,0
P60201,P06821,0
Q9HD36,P03466,0
Q9HD36,P03485,0
Q9NRG9,P03468,0
Q30201,P03485,0
Q30201,P0C0U1,0
Q9C004,P03452,0
Q9C004,P03466,0
