Protein1_ID,Protein2_ID,label
Q92802,P03452,0
Q92802,P03466,0
Q92802,P03468,0
Q92802,P06821,0
Q96B49,P03428,0
Q96B49,P03452,0
Q96B49,P03466,0
Q96B49,P03468,0
Q96B49,P06821,0
Q96B49,P03508,0
Q99469,P03452,0
Q99469,P03466,0
Q99469,P03468,0
Q99469,P03485,0
Q99469,P0C0U1,0
Q86U28,P03452,0
Q86U28,P03468,0
Q86U28,P03485,0
Q86U28,P0C0U1,0
A4IF30,P03428,0
A4IF30,P03452,0
A4IF30,P03466,0
A4IF30,P03468,0
A4IF30,P03485,0
A4IF30,P06821,0
A4IF30,P0C0U1,0
A4IF30,P03508,0
Q68DA7,P03452,0
Q68DA7,P03468,0
Q68DA7,P03485,0
Q13425,P03428,0
Q13425,P03452,0
Q13425,P03466,0
Q13425,P03468,0
Q13425,P03485,0
Q13425,P0C0U1,0
A6NC86,P03428,0
A6NC86,P03452,0
A6NC86,P03466,0
A6NC86,P03468,0
A6NC86,P03485,0
A6NC86,P03496,0
A6NC86,P06821,0
A6NC86,P03508,0
Q6UX82,P03452,0
Q6UX82,P03468,0
Q6UX82,P03485,0
Q6UX82,P03496,0
Q6UX82,P06821,0
Q6UX82,P0C0U1,0
Q6UX82,P03508,0
A6NCI4,P03452,0
A6NCI4,P03468,0
A6NCI4,P03485,0
A6NCI4,P06821,0
A6NCI4,P0C0U1,0
Q9H0C8,P03452,0
Q9H0C8,P03468,0
Q9H0C8,P03485,0
Q9H0C8,P06821,0
Q9H0C8,P0C0U1,0
P39905,P03452,0
P39905,P03466,0
P39905,P03468,0
P39905,P03485,0
P39905,P0C0U1,0
P35452,P03452,0
P35452,P03466,0
P35452,P03468,0
P35452,P03485,0
Q02962,P03428,0
Q02962,P03452,0
Q02962,P03466,0
Q02962,P03468,0
Q02962,P03485,0
Q02962,P06821,0
Q02962,P0C0U1,0
P98161,P03452,0
P98161,P03468,0
P98161,P03485,0
P98161,P0C0U1,0
Q8TDX9,P03452,0
Q8TDX9,P03468,0
Q8TDX9,P03485,0
Q8TDX9,P06821,0
Q8TDX9,P0C0U1,0
Q8TDX9,P03508,0
Q13761,P03468,0
P06401,P03452,0
P06401,P03466,0
P06401,P03468,0
P06401,P03485,0
P06401,P06821,0
P06401,P0C0U1,0
P56645,P03452,0
P56645,P03468,0
P56645,P03485,0
P56645,P0C0U1,0
Q9P1W9,P03452,0
Q9P1W9,P03466,0
Q9P1W9,P03468,0
Q9P1W9,P03485,0
Q9P1W9,P0C0U1,0
Q00444,P03433,0
Q00444,P03452,0
Q00444,P03466,0
Q00444,P03468,0
Q00444,P0C0U1,0
P57775,P03428,0
P57775,P03431,0
P57775,P03452,0
P57775,P03466,0
P57775,P03468,0
P57775,P03485,0
P57775,P06821,0
P57775,P03508,0
Q9HBZ2,P03452,0
Q9HBZ2,P03468,0
Q9HBZ2,P03485,0
Q9HBZ2,P0C0U1,0
P17481,P03452,0
P17481,P03466,0
P17481,P03468,0
P17481,P06821,0
P17481,P0C0U1,0
Q03828,P03428,0
Q03828,P03452,0
Q03828,P03466,0
Q03828,P03468,0
Q03828,P03485,0
Q03828,P0C0U1,0
P57082,P03452,0
P57082,P03466,0
P57082,P03468,0
P57082,P03485,0
P57082,P0C0U1,0
Q9ULZ3,P03452,0
Q9ULZ3,P03468,0
Q9ULZ3,P03485,0
Q9ULZ3,P0C0U1,0
Q96A47,P03452,0
Q96A47,P03466,0
Q96A47,P03468,0
Q96A47,P03485,0
Q96A47,P06821,0
P31269,P03452,0
P31269,P03468,0
P31269,P03485,0
P31269,P06821,0
P31269,P0C0U1,0
Q92908,P03452,0
Q92908,P03466,0
Q92908,P03468,0
Q92908,P03485,0
Q92908,P0C0U1,0
Q9NPA3,P03431,0
Q9NPA3,P03452,0
Q9NPA3,P03468,0
Q9NPA3,P03485,0
Q9NPA3,P06821,0
Q15465,P03452,0
Q15465,P03466,0
Q15465,P03468,0
Q15465,P03485,0
Q15465,P0C0U1,0
P45983,P03468,0
P45983,P03485,0
P31276,P03452,0
P31276,P03466,0
P31276,P03468,0
P31276,P03485,0
P31276,P06821,0
P31276,P0C0U1,0
P04049,P03452,0
Q15915,P03428,0
Q15915,P03452,0
Q15915,P03466,0
Q15915,P03468,0
Q15915,P03485,0
Q15915,P06821,0
Q15915,P0C0U1,0
