Protein1_ID,Protein2_ID,IAV_Strain,IAV_Segment
P11166,P03452,PR8,HA
P28066,P03452,PR8,HA
P47755,P03452,PR8,HA
P36957,P03452,PR8,HA
Q8TBP6,P03452,PR8,HA
Q643R3,P03452,PR8,HA
Q92604,P03452,PR8,HA
P12235,P03452,PR8,HA
Q96T76,P03452,PR8,HA
Q9HBH0,P03452,PR8,HA
O15260,P03452,PR8,HA
Q9Y230,P03452,PR8,HA
O94826,P03452,PR8,HA
P07858,P03452,PR8,HA
Q96JJ7,P03452,PR8,HA
P60604,P03452,PR8,HA
P78527,P03452,PR8,HA
A0FGR8,P03452,PR8,HA
Q8N2K0,P03452,PR8,HA
P50454,P03452,PR8,HA
P62136,P03452,PR8,HA
P35606,P03452,PR8,HA
Q9NVI1,P03452,PR8,HA
Q9NZ01,P03452,PR8,HA
Q8IY17,P03452,PR8,HA
P62191,P03452,PR8,HA
P30837,P03452,PR8,HA
P56134,P03452,PR8,HA
Q9H5Q4,P03452,PR8,HA
P84077,P03452,PR8,HA
O00743,P03452,PR8,HA
Q9Y285,P03452,PR8,HA
P49755,P03452,PR8,HA
Q96RP9,P03508,PR8,NS2
O75369,P03508,PR8,NS2
Q96CN9,P03508,PR8,NS2
Q6PI77,P03508,PR8,NS2
Q1KMD3,P03508,PR8,NS2
Q96KR1,P03508,PR8,NS2
O95232,P03508,PR8,NS2
Q13561,P03508,PR8,NS2
Q96RT1,P03508,PR8,NS2
Q9C005,P03508,PR8,NS2
Q9Y3D5,P03508,PR8,NS2
Q07157,P03508,PR8,NS2
Q9BUJ2,P03508,PR8,NS2
Q27J81,P03508,PR8,NS2
Q2TB90,P03508,PR8,NS2
Q8N5R6,P03508,PR8,NS2
Q96PK6,P03508,PR8,NS2
Q13595,P03508,PR8,NS2
Q9BSD7,P03508,PR8,NS2
P46781,P03508,PR8,NS2
Q13227,P03508,PR8,NS2
Q9P015,P03508,PR8,NS2
Q10570,P03508,PR8,NS2
Q16555,P03508,PR8,NS2
Q9Y6N6,P03508,PR8,NS2
O75494,P03508,PR8,NS2
P82664,P03508,PR8,NS2
Q9BYN8,P03508,PR8,NS2
Q9HD33,P03508,PR8,NS2
Q9UJ41,P03508,PR8,NS2
Q8WXF1,P03508,PR8,NS2
Q9Y692,P03508,PR8,NS2
O94973,P03508,PR8,NS2
Q6P1L8,P03466,PR8,NP
Q9BYN8,P03466,PR8,NP
P82932,P03466,PR8,NP
P22087,P03466,PR8,NP
Q9BYG3,P03466,PR8,NP
O75127,P03466,PR8,NP
P82675,P03466,PR8,NP
Q9Y5V3,P03466,PR8,NP
Q09161,P03466,PR8,NP
