Protein1_ID,Protein2_ID,label
6280,7,1
1665,7,1
759,7,1
9755,7,1
1554,7,1
15326,7,1
10094,7,1
6845,7,1
5763,7,1
6724,7,1
6692,7,1
6960,7,1
1025,7,1
8834,7,1
12968,7,1
11666,7,1
8362,7,1
4691,7,1
5876,7,1
10710,7,1
1609,7,1
6128,7,1
11284,7,1
11134,7,1
5276,7,1
2076,7,1
4748,7,1
1221,7,1
8126,7,1
7389,7,1
11227,7,1
11313,7,1
4002,7,1
14248,7,1
10138,9,1
8304,9,1
3986,9,1
4239,9,1
15532,9,1
9338,9,1
5056,9,1
8444,9,1
12968,9,1
1316,9,1
6868,9,1
6632,9,1
10826,9,1
1772,9,1
11655,9,1
11444,9,1
9263,9,1
13307,9,1
13063,9,1
10843,9,1
12600,9,1
9864,9,1
1892,9,1
7193,9,1
1639,9,1
2301,9,1
3020,9,1
601,1,1
8834,1,1
11666,1,1
10991,1,1
6386,1,1
6557,1,1
2501,1,1
10070,1,1
12559,1,1
2049,1,1
7294,1,1
5276,1,1
147,1,1
11655,1,1
11781,1,1
7333,1,1
10356,1,1
5455,1,1
11289,1,1
4547,1,1
9462,1,1
5217,1,1
11295,1,1
1104,1,1
11227,1,1
7647,1,1
6991,1,1
6579,1,1
9864,1,1
8151,1,1
1105,1,1
10518,1,1
2949,31,1
5056,0,1
8961,0,1
5134,0,1
6692,0,1
6974,0,1
7689,0,1
6484,0,1
1779,0,1
10356,0,1
10822,0,1
1270,0,1
9462,0,1
4802,0,1
737,0,1
6981,0,1
11237,0,1
3889,0,1
6447,0,1
4876,0,1
10175,0,1
6293,0,1
7875,0,1
9138,0,1
1417,11,1
11823,11,1
7649,11,1
8961,34,1
3907,34,1
9676,34,1
2055,34,1
12968,34,1
11666,34,1
8362,34,1
3908,34,1
1601,34,1
4558,34,1
3402,34,1
14277,34,1
10826,34,1
1779,34,1
1753,34,1
7333,34,1
10356,34,1
7430,34,1
1382,34,1
8987,34,1
13063,34,1
10822,34,1
6180,34,1
11044,34,1
11289,34,1
1407,34,1
13141,34,1
10246,34,1
10880,34,1
7964,34,1
8126,34,1
9901,34,1
4620,34,1
5963,34,1
11300,34,1
12326,34,1
7924,34,1
11608,34,1
11227,34,1
8365,34,1
7647,34,1
7342,34,1
15011,34,1
10678,34,1
11599,34,1
1564,34,1
7243,34,1
6572,34,1
7984,34,1
8961,2,1
5134,2,1
5521,2,1
15371,2,1
13811,2,1
8338,2,1
11666,2,1
6614,2,1
9970,2,1
922,2,1
972,2,1
4696,2,1
1753,2,1
11781,2,1
7333,2,1
11411,2,1
10356,2,1
164,2,1
11044,2,1
1270,2,1
10880,2,1
5217,2,1
4086,2,1
12806,2,1
11591,2,1
13280,2,1
7971,2,1
8098,2,1
10607,2,1
4373,2,1
6055,2,1
5134,6,1
1944,6,1
9581,6,1
8969,6,1
7756,6,1
1692,6,1
2055,6,1
11961,6,1
10596,6,1
2099,6,1
1382,6,1
7964,6,1
2441,6,1
1564,6,1
6532,6,1
9857,8,1
7207,8,1
6614,8,1
2501,8,1
6048,8,1
3781,8,1
344,8,1
429,8,1
1669,8,1
7656,8,1
12135,8,1
1952,8,1
15111,8,1
