Protein1_ID,Protein2_ID,human_pname_raw,IAV_Strain,IAV_Segment,Score
P51991,P03496,ROA3_HUMAN,PR8,NS1,0.988
P68104,P03496,EF1A1_HUMAN,PR8,NS1,0.981
P62750,P03496,RL23A_HUMAN,PR8,NS1,0.971
Q13227,P03508,GPS2_HUMAN,PR8,NS2,0.959
Q00839,P03496,HNRPU_HUMAN,PR8,NS1,0.958
Q4J6C6,P03508,PPCEL_HUMAN,PR8,NS2,0.956
Q8N4C6,P03508,NIN_HUMAN,PR8,NS2,0.953
Q96MW5,P03508,COG8_HUMAN,PR8,NS2,0.949
Q9NYF8,P03496,BCLF1_HUMAN,PR8,NS1,0.943
Q9UBW7,P03508,ZMYM2_HUMAN,PR8,NS2,0.943
P38159,P03496,RBMX_HUMAN,PR8,NS1,0.943
P05141,P03496,ADT2_HUMAN,PR8,NS1,0.943
P35637,P03496,FUS_HUMAN,PR8,NS1,0.939
P19429,P03508,TNNI3_HUMAN,PR8,NS2,0.938
O75569,P03496,PRKRA_HUMAN,PR8,NS1,0.937
Q8TD31,P03508,CCHCR_HUMAN,PR8,NS2,0.936
P68371,P03496,TBB4B_HUMAN,PR8,NS1,0.935
Q5SXM2,P03508,SNPC4_HUMAN,PR8,NS2,0.933
P43243,P03496,MATR3_HUMAN,PR8,NS1,0.932
Q9NS73,P03508,MBIP1_HUMAN,PR8,NS2,0.932
O14908,P03496,GIPC1_HUMAN,PR8,NS1,0.927
P15822,P03508,ZEP1_HUMAN,PR8,NS2,0.927
P62269,P03496,RS18_HUMAN,PR8,NS1,0.927
P16989,P03496,YBOX3_HUMAN,PR8,NS1,0.923
P14866,P03496,HNRPL_HUMAN,PR8,NS1,0.921
Q13151,P03496,ROA0_HUMAN,PR8,NS1,0.919
Q9NY93,P03496,DDX56_HUMAN,PR8,NS1,0.919
P49589,P03496,SYCC_HUMAN,PR8,NS1,0.918
O00505,P03496,IMA4_HUMAN,PR8,NS1,0.915
O95229,P03508,ZWINT_HUMAN,PR8,NS2,0.914
Q9H3R5,P03508,CENPH_HUMAN,PR8,NS2,0.914
P08865,P03508,RSSA_HUMAN,PR8,NS2,0.913
Q96SI9,P03496,STRBP_HUMAN,PR8,NS1,0.908
Q9BUJ2,P03496,HNRL1_HUMAN,PR8,NS1,0.905
P52294,P03466,IMA5_HUMAN,PR8,NP,0.904
O43303,P03508,CP110_HUMAN,PR8,NS2,0.903
Q9UKM9,P03496,RALY_HUMAN,PR8,NS1,0.901
Q8NC69,P03496,KCTD6_HUMAN,PR8,NS1,0.901
P10809,P03496,CH60_HUMAN,PR8,NS1,0.899
O14654,P03496,IRS4_HUMAN,PR8,NS1,0.898
P06576,P03496,ATPB_HUMAN,PR8,NS1,0.897
P62847,P03496,RS24_HUMAN,PR8,NS1,0.897
Q9UIA0,P03508,CYH4_HUMAN,PR8,NS2,0.895
Q9Y6N6,P03508,LAMC3_HUMAN,PR8,NS2,0.895
P46782,P03496,RS5_HUMAN,PR8,NS1,0.894
P08238,P03496,HS90B_HUMAN,PR8,NS1,0.893
Q13561,P03508,DCTN2_HUMAN,PR8,NS2,0.889
Q15633,P03496,TRBP2_HUMAN,PR8,NS1,0.888
Q15942,P03496,ZYX_HUMAN,PR8,NS1,0.881
Q96RT1,P03508,ERBIN_HUMAN,PR8,NS2,0.877
O95219,P03508,SNX4_HUMAN,PR8,NS2,0.874
Q8N163,P03496,CCAR2_HUMAN,PR8,NS1,0.874
P29966,P03496,MARCS_HUMAN,PR8,NS1,0.872
O75525,P03496,KHDR3_HUMAN,PR8,NS1,0.87
Q8N9N5,P03431,BANP_HUMAN,PR8,PB1,0.869
P62937,P03496,PPIA_HUMAN,PR8,NS1,0.869
O75410,P03428,TACC1_HUMAN,PR8,PB2,0.868
Q12905,P03496,ILF2_HUMAN,PR8,NS1,0.865
Q6PI77,P03508,BHLH9_HUMAN,PR8,NS2,0.863
Q13227,P03496,GPS2_HUMAN,PR8,NS1,0.861
P08865,P03496,RSSA_HUMAN,PR8,NS1,0.859
P22087,P03496,FBRL_HUMAN,PR8,NS1,0.857
Q9Y2V7,P03508,COG6_HUMAN,PR8,NS2,0.857
P18583,P03496,SON_HUMAN,PR8,NS1,0.855
P62879,P03496,GBB2_HUMAN,PR8,NS1,0.855
Q12800,P03431,TFCP2_HUMAN,PR8,PB1,0.852
Q8NHQ1,P03428,CEP70_HUMAN,PR8,PB2,0.852
Q16656,P03431,NRF1_HUMAN,PR8,PB1,0.85
P22492,P03496,H1T_HUMAN,PR8,NS1,0.85
Q06547,P03431,GABP1_HUMAN,PR8,PB1,0.849
Q8TD10,P03508,MIPO1_HUMAN,PR8,NS2,0.849
P05386,P03496,RLA1_HUMAN,PR8,NS1,0.847
P15259,P03496,PGAM2_HUMAN,PR8,NS1,0.845
Q9P1Z2,P03428,CACO1_HUMAN,PR8,PB2,0.845
Q9UL40,P03496,ZN346_HUMAN,PR8,NS1,0.844
P55795,P03496,HNRH2_HUMAN,PR8,NS1,0.843
Q92997,P03508,DVL3_HUMAN,PR8,NS2,0.841
Q9Y692,P03508,GMEB1_HUMAN,PR8,NS2,0.841
Q9H2G9,P03428,GO45_HUMAN,PR8,PB2,0.838
Q8TD10,P03428,MIPO1_HUMAN,PR8,PB2,0.838
P40429,P03496,RL13A_HUMAN,PR8,NS1,0.835
Q96FJ2,P03508,DYL2_HUMAN,PR8,NS2,0.834
P23396,P03496,RS3_HUMAN,PR8,NS1,0.831
Q8NF50,P03428,DOCK8_HUMAN,PR8,PB2,0.828
Q8N448,P03508,LNX2_HUMAN,PR8,NS2,0.827
P62140,P03496,PP1B_HUMAN,PR8,NS1,0.826
Q92966,P03496,SNPC3_HUMAN,PR8,NS1,0.822
P35579,P03496,MYH9_HUMAN,PR8,NS1,0.821
Q8NHQ1,P03508,CEP70_HUMAN,PR8,NS2,0.821
Q9UBW7,P03496,ZMYM2_HUMAN,PR8,NS1,0.82
Q8WWM7,P03496,ATX2L_HUMAN,PR8,NS1,0.819
P68104,P03431,EF1A1_HUMAN,PR8,PB1,0.818
