Protein1_ID,Protein2_ID,label
1730,1,1
15313,1,1
1872,1,1
11192,1,1
5547,1,1
3048,1,1
6167,1,1
10864,1,1
3906,1,1
1841,1,1
458,1,1
4699,1,1
10524,1,1
13939,1,1
912,1,1
9540,1,1
10628,1,1
11137,1,1
3491,1,1
13037,1,1
6064,1,1
531,1,1
482,1,1
2094,1,1
10755,1,1
2672,1,1
1075,1,1
1449,1,1
124,1,1
3492,1,1
6619,1,1
8310,1,1
6479,1,1
1541,1,1
11397,1,1
9537,1,1
8838,1,1
1326,1,1
791,1,1
6293,1,1
15137,1,1
6198,1,1
10761,1,1
6289,1,1
1878,1,1
2233,1,1
11060,1,1
3199,1,1
6121,1,1
5822,1,1
5236,1,1
3818,1,1
988,1,1
10814,1,1
6363,1,1
15525,1,1
12936,1,1
14996,1,1
4277,1,1
11054,1,1
15110,1,1
3810,1,1
11113,1,1
8024,1,1
7240,1,1
1766,1,1
5876,1,1
2108,1,1
6687,1,1
12767,1,1
7779,1,1
7269,1,1
2231,1,1
11253,1,1
10464,1,1
3405,1,1
9676,1,1
1829,1,1
2985,1,1
8606,1,1
5285,1,1
2348,1,1
10079,1,1
11401,1,1
207,1,1
7448,1,1
1283,1,1
4214,1,1
5816,1,1
7750,1,1
10353,1,1
2230,1,1
5650,1,1
682,1,1
1816,1,1
1181,1,1
7651,1,1
10369,1,1
1801,1,1
6402,1,1
8685,1,1
6819,1,1
1035,1,1
11235,1,1
7935,1,1
2220,1,1
7528,1,1
1545,1,1
151,1,1
7916,1,1
1411,1,1
1819,1,1
920,1,1
8026,1,1
1686,1,1
1718,1,1
427,1,1
7351,1,1
12732,1,1
1749,1,1
6769,1,1
6980,1,1
161,1,1
6200,1,1
8381,1,1
168,1,1
198,1,1
6782,1,1
12176,1,1
10826,1,1
2611,1,1
1615,1,1
1753,1,1
4390,1,1
3196,1,1
6346,1,1
617,1,1
6088,1,1
15433,1,1
5284,1,1
7025,1,1
2865,1,1
2232,1,1
4440,1,1
155,1,1
7281,1,1
1454,1,1
1249,1,1
7226,1,1
7054,1,1
1211,1,1
1400,1,1
1343,1,1
3091,1,1
13956,1,1
10438,1,1
5635,1,1
7395,1,1
9723,1,1
1254,1,1
2055,1,1
8107,1,1
664,1,1
2456,1,1
4949,1,1
5825,1,1
432,1,1
1158,1,1
2316,1,1
6833,1,1
7966,1,1
6930,1,1
6225,1,1
909,1,1
4422,1,1
2113,1,1
9418,1,1
14701,1,1
4161,1,1
952,1,1
6150,1,1
12259,1,1
4684,1,1
15287,1,1
6407,1,1
4472,1,1
1895,1,1
449,1,1
9638,1,1
6668,1,1
3337,1,1
1258,1,1
1986,1,1
404,1,1
15111,1,1
10161,1,1
3148,1,1
2002,1,1
1902,1,1
10585,1,1
7623,1,1
6763,1,1
10811,1,1
2317,1,1
7787,1,1
953,1,1
11092,1,1
6294,1,1
15154,1,1
7550,1,1
5431,1,1
3640,1,1
6494,1,1
1571,1,1
6590,1,1
2933,1,1
11102,1,1
10616,1,1
4423,1,1
5887,1,1
3782,1,1
3769,1,1
1431,1,1
3536,1,1
3462,1,1
591,1,1
6445,1,1
1717,1,1
14948,1,1
11881,1,1
6124,1,1
8964,1,1
9011,1,1
7142,1,1
11133,1,1
8228,1,1
6423,1,1
10790,1,1
576,1,1
1230,1,1
8125,1,1
3409,1,1
6941,1,1
6560,1,1
7363,1,1
5296,1,1
13239,1,1
6572,1,1
10228,1,1
1738,1,1
9553,1,1
1064,1,1
11029,1,1
1012,1,1
951,1,1
972,1,1
11464,1,1
7485,1,1
1953,1,1
6563,1,1
8339,1,1
6762,1,1
3975,1,1
2058,1,1
10477,1,1
6350,1,1
8919,1,1
1345,1,1
3367,1,1
6285,1,1
1608,1,1
323,1,1
4312,1,1
4340,1,1
6335,1,1
2061,1,1
1006,1,1
1486,1,1
1642,1,1
5754,1,1
6825,1,1
8394,1,1
12976,1,1
8966,1,1
7057,1,1
7239,1,1
5914,1,1
1629,1,1
6968,1,1
11904,1,1
11863,1,1
1809,1,1
7440,1,1
6973,1,1
1394,1,1
6779,1,1
2032,1,1
1308,1,1
1265,1,1
9536,1,1
1563,1,1
5250,1,1
7187,1,1
551,1,1
7968,1,1
10999,1,1
1038,1,1
10608,1,1
2383,1,1
9970,1,1
6035,1,1
1554,1,1
8570,1,1
7692,1,1
10742,1,1
841,1,1
6288,1,1
9589,1,1
15155,1,1
1683,1,1
6774,1,1
6561,1,1
8961,1,1
6785,1,1
2003,1,1
6701,1,1
3645,1,1
471,1,1
3525,1,1
6180,1,1
162,1,1
2046,1,1
10957,1,1
2863,1,1
2807,1,1
1409,1,1
7656,1,1
4591,1,1
748,1,1
6724,1,1
7657,1,1
10136,1,1
6030,1,1
12180,1,1
4938,1,1
7381,1,1
1068,1,1
4583,1,1
3855,1,1
3030,1,1
1764,1,1
90,1,1
7238,1,1
1568,1,1
1365,1,1
2954,1,1
1701,1,1
6377,1,1
4412,1,1
9153,1,1
5506,1,1
6683,1,1
9069,1,1
9338,1,1
7397,1,1
5820,1,1
7576,1,1
6159,1,1
1931,1,1
9221,1,1
11297,1,1
7248,1,1
3046,1,1
6662,1,1
14613,1,1
11197,1,1
1797,1,1
2307,1,1
4177,1,1
966,1,1
12198,1,1
9564,1,1
12955,1,1
11211,1,1
11691,1,1
6458,1,1
6183,1,1
11310,1,1
911,1,1
12951,1,1
5448,1,1
6201,1,1
10343,1,1
9755,1,1
10386,1,1
11057,1,1
10176,1,1
3106,1,1
10203,1,1
7984,1,1
11055,1,1
3275,1,1
3125,1,1
14438,1,1
819,1,1
6801,1,1
9191,1,1
7960,1,1
10953,1,1
5225,1,1
6811,1,1
6955,1,1
11048,1,1
14387,1,1
10523,1,1
1839,1,1
156,1,1
4574,1,1
7117,1,1
10494,1,1
6777,1,1
859,1,1
11225,1,1
6379,1,1
6265,1,1
2063,1,1
1636,1,1
3160,1,1
7748,1,1
3309,1,1
9538,1,1
14262,1,1
11276,1,1
7137,1,1
1134,1,1
755,1,1
12942,1,1
12351,1,1
6617,1,1
5227,1,1
9534,1,1
7419,1,1
7557,1,1
6870,1,1
6780,1,1
10374,1,1
10630,1,1
12569,1,1
743,1,1
8185,1,1
3470,1,1
6788,1,1
1076,1,1
12229,1,1
12562,1,1
10362,1,1
7125,1,1
5970,1,1
3925,1,1
6667,1,1
4292,1,1
11237,1,1
9976,1,1
8375,1,1
7973,1,1
2164,1,1
11411,1,1
7658,1,1
6367,1,1
1866,1,1
5270,1,1
1027,1,1
6342,1,1
5832,1,1
7549,1,1
2223,1,1
1943,1,1
4476,1,1
7030,1,1
5905,1,1
6375,1,1
1692,1,1
160,1,1
15426,1,1
6425,1,1
500,1,1
10065,1,1
6838,1,1
11484,1,1
380,1,1
2219,1,1
10525,1,1
3517,1,1
1349,1,1
10539,1,1
10363,1,1
8012,1,1
4540,1,1
6122,1,1
11913,1,1
6657,1,1
361,1,1
10016,1,1
1664,1,1
12586,1,1
420,1,1
8296,1,1
7106,1,1
11606,1,1
10059,1,1
6028,1,1
10915,1,1
3007,1,1
7029,1,1
10421,1,1
5275,1,1
5962,1,1
1092,1,1
10083,1,1
165,1,1
628,1,1
6259,1,1
10568,1,1
7085,1,1
6096,1,1
9565,1,1
3896,1,1
14361,1,1
6471,1,1
11312,1,1
11333,1,1
10981,1,1
5868,1,1
3335,1,1
9355,1,1
2441,1,1
2291,1,1
3776,1,1
12772,1,1
1442,1,1
297,1,1
7989,1,1
6831,1,1
5891,1,1
6716,1,1
1941,1,1
7344,1,1
1910,1,1
2926,1,1
7743,1,1
3908,1,1
3991,1,1
3020,1,1
2556,1,1
2352,1,1
6805,1,1
1209,1,1
270,1,1
6371,1,1
1897,1,1
2301,1,1
4732,1,1
1334,1,1
3086,1,1
4558,1,1
14654,1,1
5247,1,1
10242,1,1
602,1,1
14938,1,1
15164,1,1
1779,1,1
4179,1,1
2391,1,1
9214,1,1
5226,1,1
6070,1,1
6478,1,1
15529,1,1
11496,1,1
1318,1,1
6308,1,1
5243,1,1
1989,1,1
7031,1,1
1813,1,1
6651,1,1
12818,1,1
11503,1,1
4986,1,1
7027,1,1
1152,1,1
10641,1,1
3606,1,1
6026,1,1
5222,1,1
10230,1,1
6829,1,1
4228,1,1
565,1,1
7977,1,1
6767,1,1
4011,1,1
7379,1,1
7838,1,1
5856,1,1
6361,1,1
4904,1,1
6025,1,1
6962,1,1
1834,1,1
5117,1,1
365,1,1
7198,1,1
3263,1,1
2159,1,1
9322,1,1
10084,1,1
6966,1,1
7893,1,1
272,1,1
2130,1,1
7919,1,1
4439,1,1
6181,1,1
6778,1,1
12485,1,1
9881,1,1
10279,1,1
11228,1,1
10938,1,1
10703,1,1
8052,1,1
12957,1,1
12812,1,1
5210,1,1
9556,1,1
4497,1,1
6052,1,1
7243,1,1
3053,1,1
3189,1,1
6641,1,1
6898,1,1
13530,1,1
8021,1,1
2949,1,1
10759,1,1
5882,1,1
14736,1,1
10723,1,1
7746,1,1
9546,1,1
711,1,1
2347,1,1
1887,1,1
7148,1,1
8045,1,1
11033,1,1
7093,1,1
4313,1,1
10646,1,1
9174,1,1
1170,1,1
1253,1,1
1552,1,1
9440,1,1
6469,1,1
10415,1,1
9907,1,1
5337,1,1
5242,1,1
2400,1,1
4276,1,1
2617,1,1
10715,1,1
8976,1,1
10735,1,1
1674,1,1
2112,1,1
1962,1,1
7400,1,1
10699,1,1
6768,1,1
284,1,1
3084,1,1
6413,1,1
6848,1,1
11145,1,1
10418,1,1
6071,1,1
5229,1,1
7791,1,1
10480,1,1
1229,1,1
234,1,1
1280,1,1
3103,1,1
7023,1,1
5987,1,1
359,1,1
6851,1,1
11450,1,1
5881,1,1
3580,1,1
1310,1,1
3195,1,1
11768,1,1
7001,1,1
12193,1,1
10625,1,1
9561,1,1
1923,1,1
3745,1,1
7439,1,1
260,1,1
6212,1,1
11334,1,1
136,1,1
1116,1,1
688,1,1
5286,1,1
9369,1,1
5556,1,1
3036,1,1
7202,1,1
6620,1,1
5509,1,1
15138,1,1
503,1,1
11022,1,1
3915,1,1
6306,1,1
1199,1,1
4278,1,1
9983,1,1
5935,1,1
2134,1,1
159,1,1
801,1,1
8135,1,1
1416,1,1
1311,1,1
7364,1,1
9558,1,1
1384,1,1
9905,1,1
863,1,1
6865,1,1
8458,1,1
1485,1,1
3691,1,1
481,1,1
5267,1,1
10808,1,1
4586,1,1
1538,1,1
6081,1,1
522,1,1
7890,1,1
411,1,1
5627,1,1
15427,1,1
5864,1,1
11174,1,1
322,1,1
15242,1,1
6299,1,1
378,1,1
4890,1,1
1272,1,1
1023,1,1
1510,1,1
5272,1,1
981,1,1
2725,1,1
7141,1,1
9389,1,1
11644,1,1
11492,1,1
10653,1,1
6547,1,1
15356,1,1
5223,1,1
855,1,1
3903,1,1
1298,1,1
7864,1,1
9898,1,1
10184,1,1
2068,1,1
8443,1,1
3829,1,1
10845,1,1
11794,1,1
5423,1,1
1780,1,1
11924,1,1
14510,1,1
1574,1,1
977,1,1
1762,1,1
58,1,1
1939,1,1
7044,1,1
11053,1,1
1730,9,1
15313,9,1
896,9,1
1872,9,1
11192,9,1
5547,9,1
3048,9,1
6167,9,1
10864,9,1
3906,9,1
1841,9,1
4699,9,1
10524,9,1
13939,9,1
912,9,1
2035,9,1
10628,9,1
11137,9,1
3491,9,1
13037,9,1
436,9,1
482,9,1
2094,9,1
10381,9,1
5884,9,1
1075,9,1
1449,9,1
124,9,1
3492,9,1
10678,9,1
6619,9,1
8310,9,1
1541,9,1
7114,9,1
11397,9,1
9537,9,1
8838,9,1
1326,9,1
791,9,1
6293,9,1
6198,9,1
3981,9,1
10761,9,1
6289,9,1
1878,9,1
2233,9,1
11060,9,1
3199,9,1
6121,9,1
2490,9,1
10814,9,1
15525,9,1
12936,9,1
14996,9,1
2028,9,1
8110,9,1
11054,9,1
9584,9,1
3810,9,1
11113,9,1
1766,9,1
5876,9,1
2108,9,1
12767,9,1
2231,9,1
3405,9,1
9676,9,1
1829,9,1
2985,9,1
5285,9,1
2348,9,1
10079,9,1
11401,9,1
7448,9,1
