Protein1_ID,Protein2_ID,label
2985,3,1
1962,3,1
4076,3,1
10913,3,1
7308,3,1
6089,3,1
5894,3,1
10970,3,1
5709,3,1
2856,3,1
7206,3,1
951,3,1
10710,3,1
1686,3,1
8025,3,1
7879,3,1
5455,3,1
4547,3,1
8389,3,1
575,3,1
5217,3,1
1610,3,1
4689,3,1
4712,3,1
7689,3,1
6294,3,1
13284,3,1
11854,3,1
3757,3,1
15285,3,1
7101,3,1
2259,3,1
10175,3,1
4076,8,1
6614,8,1
4081,8,1
408,8,1
6532,8,1
2841,8,1
9462,8,1
2501,8,1
6386,8,1
3810,8,1
8873,8,1
9857,8,1
5289,8,1
6777,8,1
3512,8,1
7207,8,1
3781,8,1
12135,8,1
5933,8,1
5273,8,1
429,8,1
9064,8,1
11943,8,1
3420,8,1
7656,8,1
8801,8,1
15111,8,1
10596,8,1
4587,8,1
10827,8,1
1952,8,1
1669,8,1
6048,8,1
344,8,1
5172,8,1
2856,5,1
13307,5,1
9354,5,1
774,5,1
3782,5,1
1400,5,1
7578,5,1
11113,5,1
5826,5,1
6733,5,1
9335,5,1
15330,5,1
4081,5,1
11057,5,1
408,5,1
7330,5,1
10344,5,1
4392,5,1
10107,5,1
4414,5,1
6532,5,1
11387,5,1
11004,5,1
755,5,1
10622,5,1
2841,5,1
11464,5,1
749,5,1
2219,5,1
7197,5,1
79,5,1
10519,5,1
7875,5,1
1564,5,1
10710,7,1
11313,7,1
5276,7,1
12968,7,1
8362,7,1
2076,7,1
11666,7,1
6692,7,1
11227,7,1
6724,7,1
10094,7,1
6845,7,1
759,7,1
4691,7,1
1665,7,1
6128,7,1
9755,7,1
15326,7,1
11284,7,1
5763,7,1
1609,7,1
1025,7,1
11134,7,1
7389,7,1
6280,7,1
14248,7,1
6960,7,1
1221,7,1
1554,7,1
4748,7,1
4002,7,1
8126,7,1
8834,7,1
5876,7,1
5455,1,1
4547,1,1
5217,1,1
11655,1,1
7362,1,1
5276,1,1
9864,1,1
7333,1,1
11781,1,1
10356,1,1
11666,1,1
9462,1,1
11227,1,1
8834,1,1
7294,1,1
2049,1,1
1104,1,1
2501,1,1
1105,1,1
147,1,1
6557,1,1
11295,1,1
10991,1,1
6579,1,1
11289,1,1
8151,1,1
10518,1,1
