Unnamed: 0,Protein1_ID,class,IAV Segment,IAV Strain
0,P03428,IAV,PB2,PR8
1,P03431,IAV,PB1,PR8
2,P03433,IAV,PA,PR8
3,P03452,IAV,HA,PR8
4,P03466,IAV,NP,PR8
5,P03468,IAV,NA,PR8
6,P03485,IAV,M1,PR8
7,P03496,IAV,NS1,PR8
8,P06821,IAV,M2,PR8
9,P03508,IAV,NS2,PR8
10,P0C0U1,IAV,PB1-F2,PR8
11,C3W5S7,IAV,NS1,CA04
12,C3W5Z0,IAV,M2,CA04
13,C3W5S3,IAV,NA,CA04
14,C3W5S1,IAV,HA,CA04
15,C3W5S2,IAV,NP,CA04
16,C3W5S6,IAV,NS2,CA04
17,C3W5R8,IAV,PB2,CA04
18,C3W5Z1,IAV,M1,CA04
19,C3W5R9,IAV,PB1,CA04
20,C3W5S0,IAV,PA,CA04
21,C3W5X2,IAV,HA,CA07
22,C3W610,IAV,NS2,CA07
23,C3W5X4,IAV,M1,CA07
24,C3W5X3,IAV,M2,CA07
25,C3W5X5,IAV,PB2,CA07
26,C3W611,IAV,NS1,CA07
27,C3W6G3,IAV,NA,CA07
28,C3W5X6,IAV,PA,CA07
29,C3W5X7,IAV,PB1,CA07
30,P03437,IAV,HA,Aichi
31,P69277,IAV,NS1,Aichi
32,I6TEF5,IAV,PA,Aichi
33,I6T1Z7,IAV,PB2,Aichi
34,I6TAH8,IAV,NP,Aichi
35,Q02600,IAV,NS2,Aichi
36,I6TAI3,IAV,PB1-F2,Aichi
37,Q75VQ4,IAV,NA,Aichi
38,I6S532,IAV,PB1,Aichi
39,Q76V12,IAV,M2,Aichi
40,Q67157,IAV,M1,Aichi
41,Q92802,Human,,
42,Q96B49,Human,,
43,Q99469,Human,,
44,Q86U28,Human,,
45,A4IF30,Human,,
46,Q68DA7,Human,,
47,Q13425,Human,,
48,A6NC86,Human,,
49,Q6UX82,Human,,
50,A6NCI4,Human,,
51,Q9H0C8,Human,,
52,P39905,Human,,
53,P23921,Human,,
54,P35452,Human,,
55,Q02962,Human,,
56,P98161,Human,,
57,Q8TDX9,Human,,
58,Q13761,Human,,
59,P06401,Human,,
60,P56645,Human,,
61,Q9P1W9,Human,,
62,Q00444,Human,,
63,P57775,Human,,
64,Q9HBZ2,Human,,
65,P17481,Human,,
66,Q03828,Human,,
67,P57082,Human,,
68,Q9ULZ3,Human,,
69,Q96A47,Human,,
70,P31269,Human,,
71,Q92908,Human,,
72,Q9NPA3,Human,,
73,Q15465,Human,,
74,P45983,Human,,
75,P31276,Human,,
76,P04049,Human,,
77,Q15915,Human,,
78,P04629,Human,,
79,Q03519,Human,,
80,Q9HAY6,Human,,
81,Q96S42,Human,,
82,P55316,Human,,
83,Q9H7S9,Human,,
84,Q04721,Human,,
85,P60852,Human,,
86,P56747,Human,,
87,O95484,Human,,
88,O15551,Human,,
89,P11511,Human,,
90,P02751,Human,,
91,Q8TAU0,Human,,
92,Q8N7G0,Human,,
93,Q01860,Human,,
94,P02708,Human,,
95,Q9Y5R5,Human,,
96,P31270,Human,,
97,P23759,Human,,
98,P20264,Human,,
99,Q13422,Human,,
100,Q9Y261,Human,,
101,P49675,Human,,
102,Q14332,Human,,
103,O43248,Human,,
104,Q9H6I2,Human,,
105,P21741,Human,,
106,O00255,Human,,
107,Q96MS0,Human,,
108,P61604,Human,,
109,P11474,Human,,
110,P55075,Human,,
111,Q99717,Human,,
112,P41219,Human,,
113,Q9Y2T1,Human,,
114,Q13145,Human,,
115,O95833,Human,,
116,Q6ZV29,Human,,
117,P37275,Human,,
118,P00395,Human,,
119,P35680,Human,,
120,P07101,Human,,
121,A8MTQ0,Human,,
122,Q9H2W2,Human,,
123,Q9Y333,Human,,
124,P63279,Human,,
125,P32242,Human,,
126,P06732,Human,,
127,P49842,Human,,
128,P32243,Human,,
129,P41212,Human,,
130,Q9Y219,Human,,
131,P49716,Human,,
132,P42262,Human,,
133,O94813,Human,,
134,Q9H000,Human,,
135,Q9H2V7,Human,,
136,P45379,Human,,
137,Q8IXK0,Human,,
138,Q7Z794,Human,,
139,Q7RTS7,Human,,
140,Q3SY84,Human,,
141,Q01546,Human,,
142,Q5XKE5,Human,,
143,P19013,Human,,
144,P04264,Human,,
145,P05787,Human,,
146,O95678,Human,,
147,P08729,Human,,
148,P35908,Human,,
149,Q14CN4,Human,,
150,Q86Y46,Human,,
151,P50120,Human,,
152,Q8NFM7,Human,,
153,O75311,Human,,
154,P61619,Human,,
155,P20700,Human,,
156,P02545,Human,,
157,Q9BXP5,Human,,
158,Q96A05,Human,,
159,P36543,Human,,
160,P78371,Human,,
161,P49368,Human,,
162,Q99832,Human,,
163,Q9NUU7,Human,,
164,Q13547,Human,,
165,P25205,Human,,
166,P83731,Human,,
167,P46782,Human,,
168,Q15427,Human,,
169,Q15468,Human,,
170,Q96GD4,Human,,
171,Q9UQB9,Human,,
172,Q15554,Human,,
173,Q01081,Human,,
174,Q9P253,Human,,
175,P48729,Human,,
176,O75955,Human,,
177,P06213,Human,,
178,Q14289,Human,,
179,Q9Y283,Human,,
180,Q86SG6,Human,,
181,Q8WWM9,Human,,
182,Q02535,Human,,
183,Q8IWX7,Human,,
184,Q96KX0,Human,,
185,Q96QH8,Human,,
186,Q6UWQ5,Human,,
187,Q8IXA5,Human,,
188,O75951,Human,,
189,O95935,Human,,
190,Q96SF7,Human,,
191,P00450,Human,,
192,P09544,Human,,
193,P05067,Human,,
194,Q9NR23,Human,,
195,P27539,Human,,
196,P28062,Human,,
197,O43679,Human,,
198,P52564,Human,,
199,A6NMX2,Human,,
200,Q13207,Human,,
201,Q9BYU1,Human,,
202,P11161,Human,,
203,P10070,Human,,
204,Q8N119,Human,,
205,Q03014,Human,,
206,Q15628,Human,,
207,P11766,Human,,
208,O15209,Human,,
209,Q9Y2V3,Human,,
210,P13647,Human,,
211,P17509,Human,,
212,Q99593,Human,,
213,Q01543,Human,,
214,P35372,Human,,
215,Q92504,Human,,
216,P02585,Human,,
217,P20265,Human,,
218,P55771,Human,,
219,P13591,Human,,
220,P49640,Human,,
