,Protein1_ID
0,P03428
1,P03431
2,P03433
3,P03452
4,P03466
5,P03468
6,P03485
7,P03496
8,P06821
9,P03508
10,P0C0U1
11,C3W5S7
12,C3W5Z0
13,C3W5S3
14,C3W5S1
15,C3W5S2
16,C3W5S6
17,C3W5R8
18,C3W5Z1
19,C3W5R9
20,C3W5S0
21,C3W5X2
22,C3W610
23,C3W5X4
24,C3W5X3
25,C3W5X5
26,C3W611
27,C3W6G3
28,C3W5X6
29,C3W5X7
30,P03437
31,P69277
32,I6TEF5
33,I6T1Z7
34,I6TAH8
35,Q02600
36,I6TAI3
37,Q75VQ4
38,I6S532
39,Q76V12
40,Q67157
41,Q92802
42,Q96B49
43,Q99469
44,Q86U28
45,A4IF30
46,Q68DA7
47,Q13425
48,A6NC86
49,Q6UX82
50,A6NCI4
51,Q9H0C8
52,P39905
53,P23921
54,P35452
55,Q02962
56,P98161
57,Q8TDX9
58,Q13761
59,P06401
60,P56645
61,Q9P1W9
62,Q00444
63,P57775
64,Q9HBZ2
65,P17481
66,Q03828
67,P57082
68,Q9ULZ3
69,Q96A47
70,P31269
71,Q92908
72,Q9NPA3
73,Q15465
74,P45983
75,P31276
76,P04049
77,Q15915
78,P04629
79,Q03519
80,Q9HAY6
81,Q96S42
82,P55316
83,Q9H7S9
84,Q04721
85,P60852
86,P56747
87,O95484
88,O15551
89,P11511
90,P02751
91,Q8TAU0
92,Q8N7G0
93,Q01860
94,P02708
95,Q9Y5R5
96,P31270
97,P23759
98,P20264
99,Q13422
100,Q9Y261
101,P49675
102,Q14332
103,O43248
104,Q9H6I2
105,P21741
106,O00255
107,Q96MS0
108,P61604
109,P11474
110,P55075
111,Q99717
112,P41219
113,Q9Y2T1
114,Q13145
115,O95833
116,Q6ZV29
117,P37275
118,P00395
119,P35680
120,P07101
121,A8MTQ0
122,Q9H2W2
123,Q9Y333
124,P63279
125,P32242
126,P06732
127,P49842
128,P32243
129,P41212
130,Q9Y219
131,P49716
132,P42262
133,O94813
134,Q9H000
135,Q9H2V7
136,P45379
137,Q8IXK0
138,Q7Z794
139,Q7RTS7
140,Q3SY84
141,Q01546
142,Q5XKE5
143,P19013
144,P04264
145,P05787
146,O95678
147,P08729
148,P35908
149,Q14CN4
150,Q86Y46
151,P50120
152,Q8NFM7
153,O75311
154,P61619
155,P20700
156,P02545
157,Q9BXP5
158,Q96A05
159,P36543
160,P78371
161,P49368
162,Q99832
163,Q9NUU7
164,Q13547
165,P25205
166,P83731
167,P46782
168,Q15427
169,Q15468
170,Q96GD4
171,Q9UQB9
172,Q15554
173,Q01081
174,Q9P253
175,P48729
176,O75955
177,P06213
178,Q14289
179,Q9Y283
180,Q86SG6
181,Q8WWM9
182,Q02535
183,Q8IWX7
184,Q96KX0
185,Q96QH8
186,Q6UWQ5
187,Q8IXA5
188,O75951
189,O95935
190,Q96SF7
191,P00450
192,P09544
193,P05067
194,Q9NR23
195,P27539
196,P28062
197,O43679
198,P52564
199,A6NMX2
200,Q13207
201,Q9BYU1
202,P11161
203,P10070
204,Q8N119
205,Q03014
206,Q15628
207,P11766
208,O15209
209,Q9Y2V3
210,P13647
211,P17509
212,Q99593
213,Q01543
214,P35372
215,Q92504
216,P02585
217,P20265
218,P55771
219,P13591
220,P49640
221,P49639
222,Q9UMR5
223,O60701
224,P57682
225,Q03933
226,Q13351
227,Q9UM47
228,Q9UMX6
229,O14770
230,P15692
231,Q14576
232,P09017
233,P14652
234,P12104
235,P17987
236,Q99697
237,Q8N1F7
238,P54753
239,P55318
240,Q9BUD6
241,Q12948
242,Q14995
243,Q9H2C1
244,Q0VG99
245,Q9BRJ9
246,O43323
247,P56178
248,Q93098
249,P56915
250,P28358
251,P05019
252,Q96A32
253,Q06418
254,Q96NK8
255,P29475
256,P31271
257,Q5JT82
258,Q96NZ1
259,Q9Y5B8
260,P53778
261,O95863
262,P56705
263,Q00056
264,Q05925
265,Q9BWD1
266,P15976
267,P02647
268,O95715
269,Q00535
270,P28074
271,P45378
272,P26358
273,P10721
274,P00751
275,P09529
276,P09067
277,P43026
278,O95639
279,Q9Y4X3
280,P40763
281,Q9UBR4
282,Q9UMR3
283,Q02763
284,P60880
285,Q16526
286,Q13740
287,Q9UER7
288,Q96QS3
289,Q9BZB8
290,Q92886
291,P35548
292,P26367
293,O15523
294,P55265
295,P30613
296,P63215
297,Q07817
298,P05023
299,O75508
300,P30793
301,P03901
302,Q13936
303,Q9BXU8
304,Q8N4E7
305,P02794
306,P55851
307,P08100
308,Q96PE1
309,P15173
310,Q9UKG1
311,Q9UBX0
312,A6NCS4
313,P03999
314,Q92858
315,P09629
316,P06858
317,P09630
318,P15918
319,P60033
320,P56373
321,O75084
322,O94788
323,P35813
324,P35716
325,Q9H2Z4
326,P19622
327,P61923
328,P61769
329,Q9H461
330,P14136
331,P37231
332,P41587
333,P13796
334,Q04726
335,P17483
336,O95096
337,P18065
338,O95631
339,P23769
340,Q9NP59
341,P23771
342,P43268
343,A6NHT5
344,P63244
345,Q01959
346,Q14469
347,P04233
348,P84022
349,Q13402
350,O14727
351,P12644
352,Q5S007
353,P56693
354,O00470
355,P32004
356,O60507
357,Q13363
358,O15178
359,O00327
360,O00482
361,Q15717
362,P12643
363,Q99853
364,O75414
365,Q14790
366,P23415
367,P25874
368,Q07869
369,P53674
370,P52797
371,P03891
372,P10586
373,P55347
374,P14653
375,A6NMT0
376,O00144
377,P24821
378,P35221
379,Q02548
380,Q12824
381,P14651
382,Q15672
383,Q9Y651
384,P13196
385,Q9ULW2
386,Q9NPG1
387,Q10587
388,Q08881
389,P23142
390,Q6NUJ1
391,P07602
392,P40426
393,Q96L12
394,P52952
395,O43921
396,O60674
397,P35453
398,P07315
399,P07316
400,Q8TEL6
401,P22455
402,P49841
403,P31275
404,O75688
405,P01024
406,Q9UP38
407,P40424
408,Q9BPW8
409,P54105
410,Q07687
411,P26378
412,Q9GZX9
413,Q9BYV7
414,P10276
415,P19544
416,O95832
417,P78504
418,Q15319
419,P26640
420,P01111
421,Q9ULV1
422,Q5T2T1
423,Q15796
424,P24385
425,Q6ZVX7
426,P52945
427,P19784
428,Q9NYD6
429,Q9UBF2
430,P20719
431,P04628
432,Q07666
433,O60479
434,P24864
435,Q96KQ7
436,P42224
437,Q05066
438,P42574
439,P60323
440,Q13332
441,P83111
442,Q9NQI0
443,Q86U70
444,P42858
445,Q6N022
446,Q14563
447,P38432
448,P01138
449,P68400
450,P48165
451,Q00987
452,P28356
453,Q00613
454,Q13467
455,O95409
456,Q9BYE0
457,P31273
458,P67870
459,Q8TAI7
460,Q15382
461,Q49AN0
462,P11487
463,P56177
464,P00374
465,P22033
466,P08709
467,Q5T4F7
468,P03905
469,P00156
470,P14415
471,P60900
472,P20248
473,Q14872
474,Q15904
475,P83881
476,Q14108
477,Q96QC0
478,P05141
479,P09234
480,O14925
481,Q8NBZ7
482,P52732
483,P08069
484,Q9ULK5
485,P02489
486,P52951
487,P06744
488,Q9Y586
489,Q13394
490,P23219
491,P11926
492,O95343
493,P18146
494,Q9NYJ7
495,Q9UJW3
496,O75094
497,P41225
498,O95471
499,P12755
500,Q92997
501,P61244
502,Q03052
503,O15540
504,P68032
505,P49768
506,P22557
507,P46531
508,P13942
509,Q13485
510,O95025
511,P15531
512,P48436
513,P48167
514,Q15797
515,Q9NPG2
516,P03923
517,P04040
518,P22830
519,P55060
520,P07949
521,Q9Y6N7
522,P00441
523,Q8TBJ5
524,Q9GZZ0
525,P31274
526,P02649
527,P22061
528,Q9Y6C5
529,P09172
530,P02008
531,Q16637
532,P15927
533,Q9H1J5
534,P11498
535,O14627
536,O95436
537,Q13232
538,P10082
539,O15394
540,P05976
541,Q9GZT5
542,P30304
543,P30305
544,P30307
545,P43699
546,P11532
547,P40425
548,P31260
549,P17861
550,P15172
551,P23458
552,Q9HCB6
553,Q92988
554,O15211
555,P55287
556,P47712
557,Q9UQD0
558,O00541
559,P06132
560,O15169
561,P17542
562,P43354
563,Q13217
564,P27216
565,P23511
566,Q16613
567,P52799
568,Q99687
569,P19532
570,Q99835
571,Q9Y5W3
572,P17676
573,O95155
574,P48742
575,P50454
576,P08238
577,P11831
578,P28702
579,P24530
580,P61266
581,P10242
582,P17482
583,P08476
584,Q9UHB6
585,Q9P299
586,Q7Z4P5
587,Q15784
588,Q9Y5W5
589,P23942
590,P06753
591,P09493
592,P98172
593,Q15389
594,P41743
595,P00403
596,P04798
597,P05177
598,P78563
599,Q9UIU6
600,P13385
601,Q16656
602,Q07820
603,P07195
604,P22223
605,P12830
606,Q01449
607,P51449
608,O43364
609,Q14623
610,P56179
611,O95936
612,P18031
613,P11277
614,P13349
615,P11142
616,Q5TA89
617,P46379
618,P05305
619,P00846
620,O95864
621,Q9Y5Q0
622,P01344
623,Q9UQP3
624,P05026
625,O43524
626,Q14814
627,P17661
628,P56545
629,Q92837
630,O75474
631,Q6KF10
632,P23760
633,Q9HCS5
634,Q07812
635,P09016
636,Q86U86
637,P22303
638,P03897
639,P19022
640,P55317
641,Q03181
642,O60248
643,P22102
644,Q92765
645,Q06413
646,Q9BZ71
647,P31249
648,Q14863
649,P61289
650,P54760
651,O60548
652,P62952
653,Q9BWX5
654,Q5XKR4
655,P10589
656,Q8N196
657,P28072
658,P52803
659,Q9H1J7
660,P41134
661,Q15768
662,Q8WYA1
663,P22607
664,P12004
665,Q13562
666,P36894
667,Q03431
668,Q9Y5Q3
669,O00238
670,P02100
671,Q14680
672,Q8N100
673,P19883
674,Q04743
675,P28360
676,Q08043
677,P12883
678,P13533
679,P08034
680,P11488
681,P03915
682,P84090
683,Q9H255
684,P17677
685,Q01196
686,P25791
687,O43365
688,O00425
689,P50539
690,Q9NZR4
691,P54764
692,Q2M2I5
693,Q99456
694,Q04695
695,P13645
696,P19012
697,P02533
698,Q15323
699,O76011
700,P08779
701,P08727
702,P13646
703,P55283
704,Q04771
705,Q9UL46
706,Q8N1B4
707,O75829
708,O15123
709,P07333
710,P43080
711,P08670
712,P78415
713,Q16352
714,P36896
715,P14923
716,O96014
717,P07585
718,Q12870
719,Q02078
720,P02753
721,Q16539
722,Q9Y6C9
723,P01275
724,P78543
725,P31277
726,Q9H2X0
727,Q06323
728,Q9P273
729,P05388
730,P01303
731,Q9Y5C1
732,P19087
733,P03886
734,P53567
735,P41161
736,Q95460
737,P08195
738,Q9UGV2
739,Q08117
740,P35222
741,Q9UJU5
742,Q5SZQ8
743,P07900
744,Q9NZQ9
745,P00338
746,Q13253
747,Q5EB52
